temp_index	temp	mean_S	var_S	mean_E	heat_capacity_S	accept_rate	nonnull_rate	runtime_seconds
0	15.0	69286396.82	35296839.834472656	-0.34414925585190453	0.009350469333456	0.8698089458339756	0.666669683115823	8435.666169455999
1	14.9	69302590.30333333	34063771.34375	-0.34422968975371787	0.009145349266494074	0.8688526039351285	0.6666479430879866	8437.071824533
2	14.8	69317360.63666667	31428941.138183594	-0.3443030547930135	0.008552368846822927	0.8679158353798798	0.6666743772370475	8432.917058003999
3	14.7	69332607.17333333	38088229.783203125	-0.34437878515985276	0.010505971615305086	0.8669762187885982	0.6666732374259404	8438.281715783
4	14.6	69348224.62666667	33508908.234375	-0.34445635788970524	0.009369893845567103	0.8659968823326244	0.6666673352037157	8422.659929794001
5	14.5	69364080.83333333	32812630.64501953	-0.34453511652019286	0.009302188793067708	0.8650167840943158	0.6666650838511331	8430.80025517
6	14.4	69380970.39333333	36104953.81201172	-0.3446190078722106	0.010378197080424595	0.8640192893886592	0.6666631351198469	8406.458722214
7	14.3	69396954.17333333	31588311.830078125	-0.3446984001662996	0.009207345619277597	0.863008074696535	0.6666566027913775	8435.434607018
8	14.2	69413786.59	35690586.47558594	-0.3447820076843103	0.010550112719215736	0.8619839046882387	0.6666702520847321	8435.674532212
9	14.1	69430958.30333333	31889421.291015625	-0.34486730050709513	0.009560674151922766	0.8609211208505728	0.6666725884165082	8439.705326749001
10	14.0	69447673.03666666	35473509.12890625	-0.34495032348566584	0.01078768321716854	0.859874856244107	0.6666757222584315	8434.791563099
11	13.9	69465584.06	38911282.32324219	-0.3450392885009448	0.012004001659498923	0.8587851537514299	0.6666641226836614	8449.619311387
12	13.8	69483339.04333334	32743163.387695312	-0.34512747845715946	0.010248081403834042	0.8576725292076367	0.6666565934249333	8436.437179275
13	13.7	69501382.24	39742182.282714844	-0.3452170999844869	0.012620910317864784	0.8565831627337847	0.6666584864684514	8442.950294019
14	13.6	69519886.01	38513916.849609375	-0.3453090092043082	0.012411377231454902	0.8554381054643639	0.6666700252464839	8424.72714001
15	13.5	69538323.07666667	35701597.91699219	-0.34540058710508875	0.011676164947907519	0.8542704636474323	0.6666637645448957	8443.72262267
16	13.4	69557492.68333334	30227147.323242188	-0.34549580357140963	0.010033851519131488	0.8531141120869555	0.666662631886346	8426.820335946999
17	13.3	69576557.86333333	37691625.80419922	-0.34559050134486624	0.012700525564284252	0.851906209343651	0.6666528003556388	8448.671566767
18	13.2	69595851.09333333	30860661.451660156	-0.3456863318549262	0.01055692586868569	0.8507040180492241	0.6666679111548832	8440.713978745
19	13.1	69615370.08666667	34297464.572265625	-0.3457832837435934	0.011912407158827793	0.8494674279282595	0.6666635406017304	8459.805759136001
20	13.0	69635957.54333334	34396696.61425781	-0.3458855427470472	0.012131378006743895	0.848224668366865	0.6666621662889208	8432.158164342998
21	12.9	69656642.86666666	37131550.64160156	-0.3459882878594928	0.013299758944487042	0.8469228460384608	0.6666636444841112	8459.893486748
22	12.8	69677005.37	33271711.012695312	-0.3460894295076529	0.012104177953986548	0.845630037499751	0.6666693219116756	8423.802797335
23	12.7	69698340.07666667	30083521.79736328	-0.3461954001420074	0.011117351542715355	0.8443090970428725	0.666664228269032	8458.030661907998
24	12.6	69719851.03333333	31830027.33203125	-0.34630224621958205	0.01195022343358968	0.8429480078210292	0.6666653621196746	8452.523508457998
25	12.5	69741111.62	31696734.39501953	-0.34640784869591396	0.012091344602592289	0.8415727698271681	0.6666656294890813	8445.300921497
26	12.4	69764274.04	35025923.34472656	-0.34652289768060046	0.01357770368686582	0.8401828647325987	0.6666710678168706	8457.281718078
27	12.3	69786535.61333333	36028908.356933594	-0.34663347211149004	0.014194528946130804	0.8387394407753477	0.6666607802254813	8435.102867191003
28	12.2	69809702.38666667	32577776.544433594	-0.34674854271941713	0.013046135437402696	0.8372786393449161	0.6666619501795088	8434.041453244998
29	12.1	69832598.55	33055386.486816406	-0.34686226919293406	0.01345710381435653	0.8357986340707002	0.6666631993225642	8452.690535644
30	12.0	69857295.21333334	36769856.407714844	-0.3469849388466941	0.015219821039055306	0.8342851836837428	0.6666605985164642	8425.464599736999
31	11.9	69881220.87	32187604.966308594	-0.34710377886891364	0.013547989267618266	0.8327535007927165	0.6666689140456064	8428.468925892
32	11.8	69906172.5	29737946.396484375	-0.34722771495580673	0.012729960724734693	0.8311709380157626	0.666661171572549	8437.024631665001
33	11.7	69931415.18333334	37775881.462890625	-0.34735309672024517	0.016448374575738618	0.8295539162563518	0.6666625188078199	8432.905778816003
34	11.6	69957155.36333333	32626711.09765625	-0.34748094957735803	0.014452315139455232	0.8279166868072095	0.6666728222370147	8427.426770922
35	11.5	69982692.90666667	37701894.89746094	-0.34760779592725966	0.016992121381642886	0.8262502575271695	0.6666584525789533	8455.932688794
36	11.4	70009398.23	34701664.783203125	-0.3477404427031676	0.015915515562615456	0.8245371879407455	0.6666635150568826	8430.594464732003
37	11.3	70036553.76333334	37380297.213378906	-0.3478753256963359	0.017448816171994466	0.8227810778311542	0.6666639290537153	8443.715782120002
38	11.2	70064790.34666666	34127290.79345703	-0.3480155783229404	0.016216079758374247	0.8209960585790813	0.6666717929499489	8427.178423728
39	11.1	70092372.9	33218064.06982422	-0.34815258234739305	0.01606972574472883	0.8191570159315166	0.6666777089663914	8422.178634298998
40	11.0	70122054.45	35643762.43457031	-0.34830001220107076	0.017558130565049387	0.8172898252995717	0.6666570115089416	8424.766936072
41	10.9	70150895.06666666	38008851.26220703	-0.34844326509369744	0.019068294569518623	0.8153604729762911	0.666670024905886	8465.540587752002
42	10.8	70180914.70333333	38599798.275390625	-0.34859237424201434	0.01972502798873794	0.8134263528797762	0.6666670596599579	8434.168382773001
43	10.7	70211487.06666666	32060919.202148438	-0.3487442288133833	0.016691236791130735	0.8114142355532035	0.666674325806754	8459.126085513002
44	10.6	70243539.5	35482652.669921875	-0.34890343497196835	0.018822809790666244	0.8093673012547777	0.6666612844807761	8439.949767555001
45	10.5	70274849.92333333	30211241.043945312	-0.3490589555270142	0.01633315456370124	0.8072628061291383	0.6666733866078512	8414.852334416002
46	10.4	70306974.2	30003297.79345703	-0.3492185185352961	0.016534170738436275	0.805131629709791	0.6666564668927873	8440.090906415
47	10.3	70341234.29	28748937.032226562	-0.3493886902431647	0.01615204241187611	0.802886213966228	0.6666677839415414	8433.648869116001
48	10.2	70375221.74333334	35777285.12402344	-0.34955750775006084	0.020496850930846643	0.8005789034004306	0.6666779262678963	8409.937698444002
49	10.1	70409475.96	40549299.59863281	-0.34972765028476716	0.023693035961840983	0.7982745525146204	0.666670515537262	8409.401493653
50	10.0	70445914.72	32942852.14111328	-0.3499086435635885	0.019635469997592737	0.7958773310956808	0.6666682488577707	8425.110457231
51	9.9	70482006.49666667	38203068.22363281	-0.35008791335754924	0.023233142646665105	0.7933938149094442	0.6666764029434749	8437.754213011001
52	9.8	70519181.33	34918902.68066406	-0.3502725627521674	0.02167147844884857	0.7908783908194807	0.6666628565107073	8427.720391664
53	9.7	70557294.76666667	29706363.278320312	-0.35046187423997455	0.01881854852559242	0.7882882179500427	0.666665130002158	8446.544366517002
54	9.6	70595861.33333333	36706898.314941406	-0.350653436448839	0.023740252114458196	0.7856019399745425	0.6666714785780226	8413.674183627998
55	9.5	70636155.07666667	39676481.997558594	-0.35085357763701014	0.02620390709586328	0.7828062423756224	0.6666607546806336	8429.602382417004
56	9.4	70676411.11333333	37800300.79345703	-0.351053531534142	0.025498794717031717	0.7799882186356074	0.6666621054921832	8439.576455906994
57	9.3	70719036.69	32855882.827148438	-0.3512652550637722	0.022642654927668395	0.7770215159928778	0.6666734630720956	8446.833290406998
58	9.2	70761693.42333333	41784229.21777344	-0.35147713335023983	0.02942502528046886	0.7740060156320199	0.6666821571758815	8428.723641879005
59	9.1	70805390.7	42138849.463378906	-0.3516941800713539	0.030330529567786015	0.770830117196668	0.6666803693771363	8424.762104658002
60	9.0	70851235.4	39644788.36669922	-0.3519218931595484	0.029173006515958586	0.7675671299557174	0.6666651555470058	8405.385367964001
61	8.9	70896598.78	39553291.865234375	-0.35214721550544104	0.029763412590893098	0.7642106022082712	0.6666753813198635	8418.850455132
62	8.8	70944611.69	29963273.380371094	-0.35238569820920623	0.02306237430455755	0.7607176662051055	0.6666570089544569	8457.191780797999
63	8.7	70993575.04666667	35223478.41113281	-0.35262890183263357	0.027737916745266378	0.7570364700733714	0.6666705284799849	8414.709345204996
64	8.6	71043315.03333333	36971708.19238281	-0.35287596301900015	0.029795639988458317	0.753247397150772	0.6666721441064563	8440.576286498996
65	8.5	71094988.37333333	39443833.08642578	-0.353132627275255	0.032540285947352365	0.749331044379473	0.6666700560706003	8435.350196966006
66	8.4	71147314.04666667	37253381.451171875	-0.3533925317062272	0.031469310772097865	0.745235459856968	0.6666680322374616	8455.979504040995
67	8.3	71204326.22666667	42878731.98828125	-0.35367571426762473	0.03709931178081989	0.740846064872748	0.6666748116697584	8436.554905796002
68	8.2	71259499.34	35481850.411621094	-0.35394976208607354	0.03145275267338226	0.7363394301330571	0.6666728014605386	8428.45083206
69	8.1	71318053.81666666	33657729.196777344	-0.35424060531788404	0.030577000346291835	0.7315530664937681	0.6666608342102596	8422.149293718998
70	8.0	71378596.62333333	43153044.44091797	-0.35454132469164	0.040189404451211885	0.7265531947899889	0.6666679326125554	8428.41712395
71	7.9	71440866.74	110088970.48583984	-0.35485062370697656	0.10514042588522586	0.7211810413679801	0.6666701054573059	8433.896444541999
72	7.8	71509876.82666667	804497179.6162109	-0.3551934005154504	0.7881618772818522	0.715388831731998	0.6666652229854039	8378.542423744002
73	7.7	71589491.74333334	5625394208.984375	-0.35558885208434526	5.655247487739133	0.7089414840603464	0.6666650191375187	8364.825251786002
74	7.6	71695753.78333333	28536223164.66992	-0.35611666134662096	29.44756656789169	0.7018244747039822	0.6666668770994459	8374.547387521998
75	7.5	71870222.05	123127947125.58691	-0.35698325460155805	130.47106756166556	0.6930507138898298	0.6666749792439597	8382.235105220003
76	7.4	72554067.16333333	286359667922.57715	-0.3603799500233597	311.6940519452891	0.6738399421417852	0.6666733421598162	8340.30380165
77	7.3	74322155.47	148331223928.91553	-0.36916213964422545	165.9078609754538	0.6357505532330403	0.6666593146324158	8368.330652936995
78	7.2	76163733.48	109773062353.84912	-0.37830935657024384	126.21497661087928	0.6006129764432242	0.6666616349560874	8378.351909343
79	7.1	77990379.57333334	95147220448.60498	-0.38738240586386785	112.50181067654997	0.5689264129205107	0.6666674302305494	8395.604739559
80	7.0	79896382.70333333	101583134941.32275	-0.3968496258225706	123.56789129281866	0.5374772362207278	0.6666680026054382	8386.518535443
81	6.9	81822425.64333333	129455578816.70312	-0.406416384594308	162.0700228851538	0.5079003408958496	0.6666702451024736	8369.900270804996
82	6.8	83803191.83666667	200065580398.84277	-0.4162549567057027	257.89009194323916	0.480074107457395	0.6666608343805586	8405.96186584
