temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10
0	3.152	0.394	0.3326822916666667	1.1416148868141152	0.044567108154296875	0.22550201416015625	0.4021	0.06941770833333333	0.359	0.0263177083333333	0.3475	0.01481770833333329	0.3386	0.005917708333333327	0.3278	-0.004882291666666705	0.3215	-0.011182291666666677	0.3192	-0.013482291666666701	0.3201	-0.01258229166666669	0.3032	-0.02948229166666666	0.3037	-0.02898229166666666
1	3.096	0.387	0.3326822916666667	nan	0.0268707275390625	0.17465972900390625	0.3985	0.06581770833333334	0.35	0.017317708333333293	0.3388	0.006117708333333305	0.339	0.006317708333333338	0.327	-0.005682291666666672	0.3218	-0.01088229166666671	0.328	-0.004682291666666671	0.3247	-0.007982291666666697	0.3249	-0.007782291666666663	0.3353	0.0026177083333333018
2	3.04	0.38	0.3326822916666667	nan	0.02686309814453125	0.16497802734375	0.4002	0.06751770833333332	0.3448	0.01211770833333331	0.34	0.007317708333333339	0.3403	0.007617708333333306	0.3266	-0.006082291666666684	0.3334	0.000717708333333289	0.3284	-0.00428229166666666	0.3138	-0.018882291666666662	0.3128	-0.019882291666666663	0.3107	-0.02198229166666671
3	2.984	0.373	0.3326822916666667	nan	0.016887664794921875	0.1404266357421875	0.4	0.06731770833333334	0.3454	0.0127177083333333	0.3362	0.0035177083333333137	0.3272	-0.005482291666666694	0.3282	-0.004482291666666693	0.3386	0.005917708333333327	0.3283	-0.0043822916666667044	0.3256	-0.007082291666666685	0.33	-0.0026822916666666696	0.3643	0.03161770833333333
4	2.928	0.366	0.3326822916666667	nan	0.01779937744140625	0.1417083740234375	0.3913	0.058617708333333296	0.3486	0.015917708333333336	0.3272	-0.005482291666666694	0.338	0.0053177083333333375	0.3213	-0.01138229166666671	0.3263	-0.006382291666666706	0.3261	-0.006582291666666684	0.3265	-0.006182291666666673	0.3294	-0.003282291666666659	0.3583	0.025617708333333322
5	2.872	0.359	0.3326822916666667	1.033759793494345	0.034393310546875	0.19861602783203125	0.4109	0.0782177083333333	0.3599	0.027217708333333313	0.347	0.01431770833333329	0.3279	-0.00478229166666666	0.336	0.0033177083333333357	0.3277	-0.004982291666666694	0.3264	-0.006282291666666662	0.325	-0.007682291666666674	0.3137	-0.018982291666666706	0.3138	-0.018882291666666662
6	2.816	0.352	0.3326822916666667	nan	0.016170501708984375	0.124298095703125	0.3921	0.05941770833333332	0.3461	0.013417708333333334	0.3374	0.0047177083333332925	0.3304	-0.002282291666666658	0.3407	0.008017708333333318	0.3278	-0.004882291666666705	0.3281	-0.004582291666666682	0.3352	0.002517708333333313	0.3322	-0.0004822916666666899	0.3792	0.046517708333333296
7	2.76	0.345	0.3326822916666667	0.776157602447394	0.02811431884765625	0.1716156005859375	0.4116	0.07891770833333334	0.3485	0.01581770833333329	0.349	0.016317708333333292	0.3325	-0.0001822916666666674	0.3326	-8.229166666667842e-05	0.3297	-0.002982291666666692	0.3226	-0.010082291666666687	0.3165	-0.01618229166666668	0.3293	-0.0033822916666667036	0.3478	0.015117708333333313
8	2.704	0.338	0.3326822916666667	nan	0.029064178466796875	0.1664581298828125	0.412	0.07931770833333329	0.3518	0.019117708333333316	0.3392	0.006517708333333316	0.3258	-0.006882291666666707	0.3291	-0.0035822916666666815	0.34	0.007317708333333339	0.3297	-0.002982291666666692	0.3263	-0.006382291666666706	0.3337	0.0010177083333333115	0.3184	-0.014282291666666669
9	2.648	0.331	0.3326822916666667	nan	0.04141998291015625	0.2233734130859375	0.4052	0.07251770833333332	0.3681	0.0354177083333333	0.3465	0.01381770833333329	0.3369	0.004217708333333292	0.3348	0.0021177083333333013	0.3249	-0.007782291666666663	0.3139	-0.018782291666666673	0.3246	-0.008082291666666686	0.323	-0.009682291666666676	0.3283	-0.0043822916666667044
10	2.592	0.324	0.3326822916666667	nan	0.033641815185546875	0.19719696044921875	0.4068	0.07411770833333331	0.3546	0.02191770833333334	0.3373	0.0046177083333333035	0.333	0.00031770833333333304	0.3332	0.000517708333333311	0.3271	-0.005582291666666683	0.3274	-0.005282291666666661	0.3195	-0.013182291666666679	0.3066	-0.0260822916666667	0.332	-0.0006822916666666679
11	2.536	0.317	0.3326822916666667	1.3223248118216624	0.064483642578125	0.26326751708984375	0.4256	0.0929177083333333	0.3699	0.03721770833333332	0.359	0.0263177083333333	0.3438	0.01111770833333331	0.332	-0.0006822916666666679	0.328	-0.004682291666666671	0.3192	-0.013482291666666701	0.3003	-0.032382291666666674	0.283	-0.04968229166666671	0.274	-0.058682291666666664
12	2.48	0.31	0.3326822916666667	0.9881199903376159	0.037967681884765625	0.20514678955078125	0.4088	0.07611770833333331	0.3562	0.02351770833333333	0.348	0.01531770833333329	0.3399	0.007217708333333295	0.3254	-0.007282291666666663	0.3375	0.004817708333333337	0.3215	-0.011182291666666677	0.3142	-0.018482291666666706	0.3145	-0.018182291666666683	0.3355	0.0028177083333333353
13	2.424	0.303	0.3326822916666667	1.277800517994665	0.06995773315429688	0.28705596923828125	0.4475	0.11481770833333332	0.3821	0.04941770833333331	0.3596	0.02691770833333329	0.3365	0.003817708333333336	0.3241	-0.008582291666666686	0.3137	-0.018982291666666706	0.299	-0.0336822916666667	0.3038	-0.02888229166666667	0.3108	-0.021882291666666664	0.3061	-0.026582291666666702
