temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10	q_11	G_11	q_12	G_12
0	3.9400000000000004	0.394	0.3331705729166667	nan	0.00680232048034668	0.0512995719909668	0.3771	0.043929427083333306	0.3348	0.0016294270833333013	0.333	-0.00017057291666666696	0.3259	-0.007270572916666662	0.3339	0.0007294270833332894	0.3356	0.0024294270833333242	0.3306	-0.00257057291666668	0.3231	-0.010070572916666687	0.3477	0.014529427083333324	0.3275	-0.005670572916666672	0.3276	-0.005570572916666683	0.3236	-0.009570572916666686
1	3.87	0.387	0.3331705729166667	nan	0.004883766174316406	0.0536656379699707	0.3692	0.03602942708333329	0.3428	0.009629427083333308	0.3339	0.0007294270833332894	0.3332	2.942708333331101e-05	0.3267	-0.006470572916666695	0.3348	0.0016294270833333013	0.334	0.0008294270833333339	0.3334	0.00022942708333328898	0.3403	0.007129427083333306	0.3277	-0.005470572916666694	0.3273	-0.005870572916666705	0.3255	-0.007670572916666674
2	3.8	0.38	0.3331705729166667	nan	0.007926225662231445	0.05546712875366211	0.3791	0.04592942708333331	0.344	0.010829427083333287	0.3365	0.003329427083333336	0.3234	-0.009770572916666664	0.3375	0.004329427083333337	0.3284	-0.00477057291666666	0.328	-0.005170572916666671	0.3248	-0.008370572916666708	0.3282	-0.004970572916666693	0.3375	0.004329427083333337	0.3294	-0.003770572916666659	0.338	0.0048294270833333375
3	3.73	0.373	0.3331705729166667	nan	0.006075382232666016	0.04694414138793945	0.3778	0.04462942708333334	0.3331	-7.057291666667798e-05	0.3366	0.003429427083333325	0.3336	0.00042942708333332247	0.3364	0.0032294270833332916	0.3383	0.0051294270833333044	0.3371	0.003929427083333326	0.3314	-0.0017705729166667128	0.343	0.009829427083333342	0.3254	-0.007770572916666663	0.3327	-0.00047057291666668943	0.3218	-0.01137057291666671
4	3.66	0.366	0.3331705729166667	nan	0.009051799774169922	0.0567173957824707	0.3717	0.03852942708333329	0.3462	0.013029427083333323	0.3402	0.007029427083333317	0.3359	0.002729427083333291	0.3338	0.0006294270833333004	0.3352	0.002029427083333313	0.3267	-0.006470572916666695	0.3336	0.00042942708333332247	0.3302	-0.0029705729166666917	0.328	-0.005170572916666671	0.325	-0.008170572916666674	0.3422	0.009029427083333319
5	3.59	0.359	0.3331705729166667	nan	0.014172077178955078	0.07528924942016602	0.3898	0.056629427083333295	0.3475	0.01432942708333329	0.3348	0.0016294270833333013	0.3388	0.005629427083333305	0.3299	-0.0032705729166666586	0.3309	-0.0022705729166666577	0.3326	-0.0005705729166666784	0.3256	-0.007570572916666685	0.3365	0.003329427083333336	0.3235	-0.009670572916666675	0.3195	-0.013670572916666679	0.3239	-0.009270572916666664
6	3.5199999999999996	0.352	0.3331705729166667	nan	0.01002049446105957	0.058312416076660156	0.3857	0.0525294270833333	0.3436	0.010429427083333331	0.3366	0.003429427083333325	0.3394	0.006229427083333294	0.3323	-0.0008705729166667009	0.3383	0.0051294270833333044	0.3389	0.005729427083333294	0.3355	0.0023294270833333353	0.3328	-0.00037057291666670045	0.3296	-0.003570572916666681	0.3246	-0.008570572916666686	0.3135	-0.019670572916666684
7	3.4499999999999997	0.345	0.3331705729166667	nan	0.011293649673461914	0.06441354751586914	0.3903	0.057129427083333295	0.3386	0.005429427083333327	0.3354	0.0022294270833332908	0.3359	0.002729427083333291	0.3342	0.001029427083333312	0.3358	0.0026294270833333022	0.325	-0.008170572916666674	0.3349	0.0017294270833332903	0.3362	0.0030294270833333137	0.3461	0.012929427083333334	0.3324	-0.0007705729166667119	0.3383	0.0051294270833333044
8	3.3800000000000003	0.338	0.3331705729166667	nan	0.015451669692993164	0.08115339279174805	0.3925	0.05932942708333333	0.3488	0.015629427083333314	0.3408	0.007629427083333307	0.3379	0.004729427083333293	0.3299	-0.0032705729166666586	0.3358	0.0026294270833333022	0.3241	-0.009070572916666686	0.3352	0.002029427083333313	0.3285	-0.004670572916666671	0.3353	0.0021294270833333018	0.3371	0.003929427083333326	0.3318	-0.0013705729166667013
9	3.31	0.331	0.3331705729166667	nan	0.010724782943725586	0.060372352600097656	0.3912	0.05802942708333331	0.3439	0.010729427083333298	0.3323	-0.0008705729166667009	0.335	0.0018294270833333348	0.3284	-0.00477057291666666	0.3292	-0.0039705729166666925	0.3242	-0.008970572916666697	0.3352	0.002029427083333313	0.3324	-0.0007705729166667119	0.3193	-0.013870572916666712	0.3252	-0.007970572916666696	0.3335	0.0003294270833333335
