temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10	q_11	G_11	q_12	G_12	q_13	G_13	q_14	G_14
0	4.728	0.39399999999999996	0.3332926432291667	nan	0.001544564962387085	0.016479045152664185	0.3716	0.0383073567708333	0.342	0.008707356770833341	0.3387	0.005407356770833316	0.3287	-0.004592643229166693	0.3323	-0.0009926432291667009	0.3365	0.003207356770833336	0.3412	0.007907356770833318	0.3315	-0.0017926432291666683	0.3283	-0.0049926432291667044	0.3343	0.0010073567708333009	0.3363	0.0030073567708333027	0.3279	-0.00539264322916666	0.3299	-0.0033926432291666586	0.3281	-0.005192643229166682
1	4.644	0.387	0.3332926432291667	nan	0.0013194233179092407	0.014251500368118286	0.3721	0.0388073567708333	0.3389	0.005607356770833294	0.3347	0.0014073567708333123	0.3401	0.006807356770833328	0.3285	-0.004792643229166671	0.3398	0.006507356770833306	0.3311	-0.0021926432291666798	0.3301	-0.0031926432291666806	0.3398	0.006507356770833306	0.3325	-0.0007926432291666674	0.3369	0.003607356770833292	0.3398	0.006507356770833306	0.3228	-0.01049264322916671	0.3397	0.006407356770833317
2	4.5600000000000005	0.38000000000000006	0.3332926432291667	nan	0.0027997493743896484	0.018967360258102417	0.3694	0.03610735677083332	0.3413	0.008007356770833307	0.3353	0.0020073567708333018	0.344	0.010707356770833287	0.3355	0.0022073567708333353	0.3397	0.006407356770833317	0.3327	-0.0005926432291666894	0.3284	-0.00489264322916666	0.3403	0.007007356770833306	0.3257	-0.007592643229166696	0.3322	-0.0010926432291666899	0.3313	-0.0019926432291667018	0.3414	0.008107356770833296	0.3306	-0.00269264322916668
3	4.476	0.373	0.3332926432291667	nan	0.0021080970764160156	0.01649037003517151	0.3811	0.04780735677083331	0.3397	0.006407356770833317	0.3346	0.0013073567708333234	0.3262	-0.007092643229166695	0.3351	0.0018073567708333238	0.3402	0.006907356770833317	0.3376	0.004307356770833326	0.3292	-0.0040926432291666925	0.3309	-0.0023926432291666577	0.3314	-0.0018926432291667128	0.33	-0.0032926432291666696	0.331	-0.0022926432291666687	0.3324	-0.0008926432291667119	0.3311	-0.0021926432291666798
4	4.3919999999999995	0.36599999999999994	0.3332926432291667	nan	0.0026593804359436035	0.018726617097854614	0.3737	0.04040735677083329	0.345	0.011707356770833288	0.3354	0.0021073567708332908	0.3342	0.0009073567708333119	0.332	-0.0012926432291666679	0.3333	7.356770833299997e-06	0.338	0.0047073567708333375	0.3311	-0.0021926432291666798	0.3317	-0.0015926432291666903	0.3241	-0.009192643229166686	0.332	-0.0012926432291666679	0.3286	-0.004692643229166682	0.3351	0.0018073567708333238	0.3262	-0.007092643229166695
5	4.308	0.359	0.3332926432291667	nan	0.0032220929861068726	0.019783467054367065	0.3746	0.0413073567708333	0.3357	0.0024073567708333132	0.3383	0.0050073567708333044	0.3364	0.0031073567708332916	0.329	-0.0042926432291666705	0.3334	0.00010735677083328898	0.3271	-0.006192643229166683	0.3365	0.003207356770833336	0.3361	0.0028073567708333247	0.3319	-0.0013926432291667123	0.3276	-0.005692643229166683	0.3256	-0.007692643229166685	0.3375	0.004207356770833337	0.3349	0.0016073567708332903
6	4.224	0.35200000000000004	0.3332926432291667	nan	0.004013136029243469	0.021913617849349976	0.3746	0.0413073567708333	0.3398	0.006507356770833306	0.3339	0.0006073567708332894	0.3423	0.009007356770833308	0.3346	0.0013073567708333234	0.3368	0.003507356770833303	0.3333	7.356770833299997e-06	0.3311	-0.0021926432291666798	0.3382	0.0049073567708333155	0.3298	-0.003492643229166703	0.3319	-0.0013926432291667123	0.3361	0.0028073567708333247	0.3347	0.0014073567708333123	0.3336	0.00030735677083332247
7	4.14	0.345	0.3332926432291667	nan	0.003676503896713257	0.023728370666503906	0.3726	0.0393073567708333	0.3455	0.012207356770833289	0.3312	-0.0020926432291666908	0.335	0.0017073567708333348	0.3405	0.00720735677083334	0.3286	-0.004692643229166682	0.3278	-0.005492643229166705	0.333	-0.00029264322916666696	0.3343	0.0010073567708333009	0.337	0.0037073567708333366	0.3344	0.0011073567708332899	0.3335	0.00020735677083333348	0.3386	0.005307356770833327	0.3323	-0.0009926432291667009
8	4.056	0.338	0.3332926432291667	nan	0.0068193525075912476	0.031435102224349976	0.3809	0.04760735677083333	0.3404	0.007107356770833295	0.3465	0.01320735677083329	0.3299	-0.0033926432291666586	0.3318	-0.0014926432291667013	0.3275	-0.005792643229166672	0.3353	0.0020073567708333018	0.3321	-0.0011926432291666789	0.3304	-0.002892643229166658	0.3319	-0.0013926432291667123	0.33	-0.0032926432291666696	0.3272	-0.006092643229166694	0.3304	-0.002892643229166658	0.3311	-0.0021926432291666798
9	3.9720000000000004	0.331	0.3332926432291667	nan	0.008492141962051392	0.03613349795341492	0.3866	0.053307356770833314	0.345	0.011707356770833288	0.3401	0.006807356770833328	0.33	-0.0032926432291666696	0.333	-0.00029264322916666696	0.3352	0.0019073567708333128	0.3339	0.0006073567708332894	0.3395	0.006207356770833339	0.3313	-0.0019926432291667018	0.332	-0.0012926432291666679	0.3335	0.00020735677083333348	0.3357	0.0024073567708333132	0.322	-0.011292643229166677	0.3283	-0.0049926432291667044
