temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10	q_11	G_11	q_12	G_12	q_13	G_13	q_14	G_14	q_15	G_15	q_16	G_16
0	5.516	0.394	0.3333231608072917	nan	0.0008396180346608162	0.006066946312785149	0.3652	0.03187683919270834	0.3459	0.0125768391927083	0.3383	0.0049768391927083044	0.3315	-0.0018231608072916683	0.3281	-0.005223160807291682	0.3326	-0.0007231608072916784	0.3291	-0.0042231608072916815	0.3286	-0.004723160807291682	0.3306	-0.00272316080729168	0.3318	-0.0015231608072917013	0.331	-0.0023231608072916687	0.3318	-0.0015231608072917013	0.331	-0.0023231608072916687	0.3379	0.004576839192708293	0.3291	-0.0042231608072916815	0.3334	7.683919270828898e-05
1	5.418	0.387	0.3333231608072917	nan	0.00045493151992559433	0.004677172750234604	0.3683	0.03497683919270833	0.3406	0.007276839192708329	0.331	-0.0023231608072916687	0.3285	-0.004823160807291671	0.3267	-0.006623160807291695	0.332	-0.0013231608072916679	0.3332	-0.000123160807291689	0.3386	0.005276839192708327	0.3338	0.00047683919270830044	0.3211	-0.012223160807291689	0.3309	-0.0024231608072916577	0.3487	0.015376839192708325	0.3332	-0.000123160807291689	0.3387	0.005376839192708316	0.3311	-0.0022231608072916798	0.3342	0.0008768391927083119
2	5.32	0.38	0.3333231608072917	nan	0.0009729210287332535	0.006278526037931442	0.3645	0.031176839192708306	0.338	0.0046768391927083375	0.334	0.0006768391927083339	0.3366	0.003276839192708325	0.3245	-0.008823160807291675	0.3392	0.005876839192708316	0.3306	-0.00272316080729168	0.3322	-0.0011231608072916899	0.3343	0.0009768391927083009	0.3387	0.005376839192708316	0.3312	-0.0021231608072916908	0.332	-0.0013231608072916679	0.3342	0.0008768391927083119	0.3327	-0.0006231608072916894	0.3353	0.0019768391927083018	0.3324	-0.0009231608072917119
3	5.2219999999999995	0.37299999999999994	0.3333231608072917	nan	0.0006708689033985138	0.005073796957731247	0.3744	0.041076839192708325	0.3387	0.005376839192708316	0.3361	0.0027768391927083247	0.3405	0.00717683919270834	0.3273	-0.006023160807291705	0.3498	0.016476839192708315	0.3409	0.007576839192708296	0.3364	0.0030768391927082916	0.3268	-0.006523160807291706	0.3269	-0.006423160807291661	0.3305	-0.002823160807291669	0.33	-0.0033231608072916696	0.3367	0.003376839192708314	0.343	0.009676839192708342	0.3352	0.0018768391927083128	0.3384	0.005076839192708293
4	5.124	0.366	0.3333231608072917	nan	0.0019624289125204086	0.009463069960474968	0.3672	0.03387683919270834	0.3348	0.0014768391927083013	0.3372	0.0038768391927083146	0.3342	0.0008768391927083119	0.3266	-0.006723160807291684	0.3222	-0.011123160807291699	0.3331	-0.00022316080729167798	0.3267	-0.006623160807291695	0.3387	0.005376839192708316	0.3224	-0.010923160807291665	0.3395	0.006176839192708339	0.3382	0.0048768391927083155	0.336	0.0026768391927083357	0.3402	0.006876839192708317	0.3263	-0.007023160807291706	0.3348	0.0014768391927083013
5	5.026	0.359	0.3333231608072917	nan	0.0012298915535211563	0.007487958297133446	0.369	0.03567683919270831	0.3366	0.003276839192708325	0.3317	-0.0016231608072916903	0.338	0.0046768391927083375	0.3328	-0.0005231608072917004	0.3368	0.003476839192708303	0.3319	-0.0014231608072917123	0.335	0.0016768391927083348	0.3169	-0.01642316080729167	0.3302	-0.0031231608072916917	0.328	-0.005323160807291671	0.3326	-0.0007231608072916784	0.3298	-0.003523160807291703	0.3323	-0.0010231608072917009	0.335	0.0016768391927083348	0.3211	-0.012223160807291689
6	4.928	0.352	0.3333231608072917	nan	0.0014667101204395294	0.007899988442659378	0.3728	0.039476839192708335	0.3342	0.0008768391927083119	0.3426	0.00927683919270833	0.3368	0.003476839192708303	0.341	0.00767683919270834	0.3257	-0.007623160807291696	0.3326	-0.0007231608072916784	0.3349	0.0015768391927082903	0.3312	-0.0021231608072916908	0.3338	0.00047683919270830044	0.3298	-0.003523160807291703	0.328	-0.005323160807291671	0.334	0.0006768391927083339	0.3346	0.0012768391927083234	0.3284	-0.00492316080729166	0.3383	0.0049768391927083044
7	4.83	0.34500000000000003	0.3333231608072917	nan	0.0017922921106219292	0.008948132395744324	0.3747	0.04137683919270829	0.3358	0.0024768391927083022	0.3295	-0.00382316080729167	0.3382	0.0048768391927083155	0.3398	0.006476839192708306	0.3348	0.0014768391927083013	0.3299	-0.0034231608072916586	0.3303	-0.0030231608072917027	0.3326	-0.0007231608072916784	0.3306	-0.00272316080729168	0.3252	-0.008123160807291696	0.3319	-0.0014231608072917123	0.3305	-0.002823160807291669	0.3321	-0.0012231608072916789	0.323	-0.010323160807291676	0.339	0.005676839192708338
8	4.732	0.338	0.3333231608072917	nan	0.001841869205236435	0.008872924372553825	0.3727	0.03937683919270829	0.3403	0.006976839192708306	0.3356	0.0022768391927083242	0.3273	-0.006023160807291705	0.3426	0.00927683919270833	0.3383	0.0049768391927083044	0.3328	-0.0005231608072917004	0.3341	0.0007768391927083229	0.3303	-0.0030231608072917027	0.3395	0.006176839192708339	0.3304	-0.002923160807291658	0.3348	0.0014768391927083013	0.3247	-0.008623160807291697	0.3315	-0.0018231608072916683	0.3332	-0.000123160807291689	0.3325	-0.0008231608072916674
9	4.634	0.331	0.3333231608072917	nan	0.0035888077691197395	0.01406639814376831	0.3769	0.04357683919270833	0.3415	0.00817683919270834	0.333	-0.00032316080729166696	0.338	0.0046768391927083375	0.3366	0.003276839192708325	0.3296	-0.003723160807291681	0.333	-0.00032316080729166696	0.3327	-0.0006231608072916894	0.3327	-0.0006231608072916894	0.3315	-0.0018231608072916683	0.3298	-0.003523160807291703	0.3333	-2.3160807291700003e-05	0.3405	0.00717683919270834	0.3224	-0.010923160807291665	0.3355	0.0021768391927083353	0.3302	-0.0031231608072916917
10	4.5360000000000005	0.324	0.3333231608072917	nan	0.007951965555548668	0.02631073258817196	0.3772	0.043876839192708295	0.3473	0.013976839192708312	0.3326	-0.0007231608072916784	0.345	0.011676839192708288	0.3363	0.0029768391927083027	0.3453	0.01197683919270831	0.3258	-0.007523160807291707	0.326	-0.007323160807291673	0.3326	-0.0007231608072916784	0.3403	0.006976839192708306	0.3277	-0.005623160807291694	0.3276	-0.005723160807291683	0.323	-0.010323160807291676	0.3294	-0.003923160807291659	0.3363	0.0029768391927083027	0.3315	-0.0018231608072916683
11	4.438	0.317	0.3333231608072917	nan	0.018669125624001026	0.056726643815636635	0.3881	0.054776839192708315	0.3549	0.021576839192708308	0.3473	0.013976839192708312	0.3328	-0.0005231608072917004	0.3337	0.00037683919270831145	0.3382	0.0048768391927083155	0.33	-0.0033231608072916696	0.3348	0.0014768391927083013	0.3321	-0.0012231608072916789	0.3268	-0.006523160807291706	0.3214	-0.011923160807291666	0.334	0.0006768391927083339	0.3221	-0.011223160807291688	0.3211	-0.012223160807291689	0.3167	-0.016623160807291704	0.3007	-0.03262316080729166
12	4.34	0.31	0.3333231608072917	2.591433869767716	0.040893642231822014	0.12015181966125965	0.3953	0.0619768391927083	0.3733	0.039976839192708336	0.3549	0.021576839192708308	0.3594	0.026076839192708312	0.3464	0.0130768391927083	0.3457	0.012376839192708322	0.3363	0.0029768391927083027	0.3309	-0.0024231608072916577	0.3287	-0.004623160807291693	0.3178	-0.015523160807291658	0.3158	-0.01752316080729166	0.3128	-0.020523160807291663	0.3084	-0.024923160807291678	0.308	-0.02532316080729169	0.2927	-0.04062316080729167	0.2991	-0.03422316080729171
13	4.242	0.303	0.3333231608072917	2.7979182126483364	0.05329866707324982	0.15538833104074	0.4162	0.08287683919270833	0.3827	0.0493768391927083	0.3695	0.03617683919270831	0.3645	0.031176839192708306	0.3552	0.02187683919270833	0.3446	0.011276839192708332	0.3431	0.009776839192708331	0.3421	0.00877683919270833	0.3223	-0.01102316080729171	0.3201	-0.01322316080729169	0.3088	-0.024523160807291666	0.2997	-0.03362316080729166	0.2966	-0.03672316080729171	0.2938	-0.03952316080729168	0.2938	-0.03952316080729168	0.2789	-0.054423160807291704
14	4.144	0.296	0.3333231608072917	3.3505567551445594	0.08041918929666281	0.23308766074478626	0.4352	0.10187683919270829	0.3922	0.05887683919270831	0.3827	0.0493768391927083	0.3682	0.03487683919270834	0.3744	0.041076839192708325	0.3552	0.02187683919270833	0.3474	0.014076839192708301	0.3273	-0.006023160807291705	0.3307	-0.002623160807291691	0.3209	-0.012423160807291667	0.307	-0.02632316080729169	0.2895	-0.043823160807291706	0.2864	-0.0469231608072917	0.2725	-0.060823160807291665	0.2635	-0.06982316080729167	0.2582	-0.0751231608072917
15	4.045999999999999	0.289	0.3333231608072917	3.0358703104485865	0.08948308974504471	0.2582863625138998	0.4468	0.11347683919270829	0.4058	0.07247683919270831	0.3852	0.0518768391927083	0.3748	0.04147683919270834	0.3717	0.03837683919270829	0.3527	0.01937683919270833	0.3373	0.0039768391927083035	0.3348	0.0014768391927083013	0.3156	-0.017723160807291694	0.3142	-0.019123160807291706	0.2988	-0.034523160807291675	0.2946	-0.03872316080729171	0.2801	-0.05322316080729167	0.275	-0.05832316080729166	0.2579	-0.07542316080729167	0.2518	-0.08152316080729166
16	3.9479999999999995	0.282	0.3333231608072917	3.457080902103801	0.11026403307914734	0.32005308754742146	0.4522	0.1188768391927083	0.4318	0.09847683919270833	0.4074	0.0740768391927083	0.3851	0.05177683919270831	0.3711	0.0377768391927083	0.3558	0.02247683919270832	0.343	0.009676839192708342	0.3332	-0.000123160807291689	0.3231	-0.010223160807291687	0.3073	-0.026023160807291668	0.2916	-0.04172316080729166	0.2712	-0.06212316080729169	0.2585	-0.07482316080729168	0.2614	-0.07192316080729166	0.2341	-0.09922316080729168	0.2195	-0.11382316080729168
17	3.8500000000000005	0.275	0.3333231608072917	3.3191944392885517	0.129817271605134	0.37657277658581734	0.4794	0.1460768391927083	0.4366	0.1032768391927083	0.4132	0.07987683919270833	0.394	0.06067683919270833	0.379	0.04567683919270832	0.3681	0.0347768391927083	0.3508	0.017476839192708316	0.3328	-0.0005231608072917004	0.315	-0.018323160807291683	0.2879	-0.045423160807291696	0.2812	-0.05212316080729168	0.2705	-0.06282316080729167	0.2509	-0.08242316080729167	0.2391	-0.09422316080729168	0.2223	-0.11102316080729169	0.1951	-0.1382231608072917
18	3.7520000000000002	0.268	0.3333231608072917	3.5178377801878438	0.1488926475867629	0.4356304928660393	0.5003	0.16697683919270828	0.4509	0.11757683919270834	0.4447	0.1113768391927083	0.4151	0.08177683919270834	0.3825	0.04917683919270832	0.3684	0.03507683919270832	0.3541	0.02077683919270834	0.3311	-0.0022231608072916798	0.3185	-0.01482316080729168	0.2991	-0.03422316080729171	0.2648	-0.0685231608072917	0.2614	-0.07192316080729166	0.245	-0.08832316080729169	0.2145	-0.11882316080729169	0.2078	-0.12552316080729167	0.1878	-0.1455231608072917
19	3.654	0.261	0.3333231608072917	3.5415241509694173	0.17557958979159594	0.5300750341266394	0.5245	0.19117683919270828	0.4635	0.13017683919270834	0.4501	0.11677683919270831	0.4227	0.08937683919270833	0.4018	0.0684768391927083	0.3748	0.04147683919270834	0.354	0.020676839192708296	0.3326	-0.0007231608072916784	0.3036	-0.029723160807291704	0.2882	-0.04512316080729167	0.2679	-0.06542316080729166	0.2455	-0.08782316080729169	0.2292	-0.1041231608072917	0.2102	-0.12312316080729169	0.1929	-0.1404231608072917	0.1647	-0.16862316080729167
20	3.556	0.254	0.3333231608072917	3.6387326109157674	0.20434239972382784	0.6373767964541912	0.5512	0.21787683919270834	0.5012	0.1678768391927083	0.4652	0.13187683919270832	0.4431	0.10977683919270831	0.413	0.0796768391927083	0.3852	0.0518768391927083	0.3567	0.023376839192708332	0.3344	0.0010768391927082899	0.2971	-0.03622316080729171	0.2791	-0.05422316080729167	0.2667	-0.06662316080729169	0.2309	-0.10242316080729169	0.2119	-0.12142316080729168	0.1935	-0.13982316080729168	0.1666	-0.1667231608072917	0.1511	-0.18222316080729167
21	3.458	0.24700000000000003	0.3333231608072917	3.6408573850672807	0.22256827540695667	0.7027267273515463	0.5647	0.2313768391927083	0.5131	0.17977683919270832	0.4916	0.1582768391927083	0.4511	0.11777683919270832	0.4232	0.08987683919270834	0.3793	0.04597683919270834	0.3528	0.019476839192708317	0.335	0.0016768391927083348	0.306	-0.02732316080729169	0.2752	-0.058123160807291685	0.2455	-0.08782316080729169	0.2294	-0.10392316080729169	0.2036	-0.12972316080729168	0.1773	-0.15602316080729167	0.1647	-0.16862316080729167	0.1354	-0.1979231608072917
22	3.36	0.24	0.3333231608072917	3.7848993426330853	0.2462689559906721	0.786120293661952	0.5861	0.25277683919270827	0.5315	0.1981768391927083	0.501	0.16767683919270832	0.4568	0.1234768391927083	0.4301	0.0967768391927083	0.3986	0.06527683919270832	0.3637	0.030376839192708338	0.3219	-0.011423160807291666	0.3054	-0.02792316080729168	0.2703	-0.0630231608072917	0.2392	-0.09412316080729169	0.2075	-0.1258231608072917	0.1975	-0.13582316080729168	0.165	-0.16832316080729168	0.1381	-0.19522316080729168	0.1156	-0.2177231608072917
23	3.262	0.233	0.3333231608072917	3.887325713106291	0.2674472276121378	0.873443815857172	0.6149	0.2815768391927083	0.56	0.22667683919270837	0.5299	0.19657683919270835	0.4803	0.14697683919270832	0.4398	0.10647683919270834	0.4024	0.0690768391927083	0.3736	0.0402768391927083	0.3253	-0.008023160807291707	0.2962	-0.037123160807291666	0.2654	-0.06792316080729166	0.2344	-0.09892316080729169	0.2062	-0.1271231608072917	0.1746	-0.15872316080729168	0.1625	-0.17082316080729168	0.1299	-0.2034231608072917	0.1032	-0.23012316080729167
24	3.164	0.226	0.3333231608072917	3.7026133635611425	0.2852973220869899	0.9533772338181734	0.6282	0.2948768391927083	0.5862	0.25287683919270837	0.5246	0.19127683919270827	0.4816	0.1482768391927083	0.4482	0.1148768391927083	0.4099	0.0765768391927083	0.3585	0.0251768391927083	0.3278	-0.005523160807291705	0.3	-0.033323160807291696	0.258	-0.07532316080729168	0.2221	-0.1112231608072917	0.2043	-0.12902316080729168	0.17	-0.16332316080729167	0.144	-0.1893231608072917	0.1173	-0.21602316080729167	0.093	-0.24032316080729169
