temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10	q_11	G_11	q_12	G_12	q_13	G_13	q_14	G_14	q_15	G_15	q_16	G_16	q_17	G_17	q_18	G_18
0	6.304	0.394	0.33333079020182294	nan	0.00022741651628166437	0.0018128890078514814	0.3703	0.03696920979817708	0.3419	0.008569209798177047	0.3427	0.00936920979817707	0.3313	-0.0020307902018229518	0.335	0.0016692097981770848	0.3305	-0.002830790201822919	0.3381	0.0047692097981770765	0.3348	0.0014692097981770513	0.3329	-0.00043079020182296146	0.3341	0.0007692097981770729	0.3276	-0.005730790201822933	0.3278	-0.005530790201822955	0.3363	0.0029692097981770527	0.3276	-0.005730790201822933	0.3342	0.0008692097981770619	0.3272	-0.006130790201822944	0.3335	0.00016920979817708348	0.3329	-0.00043079020182296146
1	6.192	0.387	0.33333079020182294	nan	0.0002101972931995988	0.0016369747463613749	0.3703	0.03696920979817708	0.341	0.00766920979817709	0.338	0.0046692097981770875	0.3383	0.0049692097981770544	0.3301	-0.0032307902018229306	0.3319	-0.0014307902018229623	0.3359	0.002569209798177041	0.3499	0.016569209798177054	0.3381	0.0047692097981770765	0.3287	-0.004630790201822943	0.3322	-0.0011307902018229399	0.3347	0.0013692097981770623	0.3335	0.00016920979817708348	0.3331	-0.00023079020182292798	0.3358	0.0024692097981770522	0.3363	0.0029692097981770527	0.3361	0.0027692097981770747	0.3387	0.005369209798177066
2	6.08	0.38	0.33333079020182294	nan	0.00019664742285385728	0.0017268627416342497	0.3701	0.03676920979817705	0.338	0.0046692097981770875	0.3295	-0.00383079020182292	0.3433	0.009969209798177059	0.3303	-0.0030307902018229527	0.3267	-0.006630790201822945	0.3367	0.003369209798177064	0.3348	0.0014692097981770513	0.3401	0.006769209798177078	0.3289	-0.0044307902018229095	0.329	-0.0043307902018229205	0.3307	-0.002630790201822941	0.3366	0.003269209798177075	0.332	-0.0013307902018229179	0.3336	0.00026920979817707247	0.3327	-0.0006307902018229394	0.3316	-0.0017307902018229293	0.3287	-0.004630790201822943
3	5.968	0.373	0.33333079020182294	nan	0.00015372608322650194	0.0016104051610454917	0.3654	0.03206920979817707	0.3349	0.0015692097981770403	0.3278	-0.005530790201822955	0.3351	0.0017692097981770738	0.3331	-0.00023079020182292798	0.3306	-0.00273079020182293	0.3303	-0.0030307902018229527	0.3439	0.010569209798177048	0.3308	-0.0025307902018229522	0.338	0.0046692097981770875	0.3369	0.003569209798177042	0.3322	-0.0011307902018229399	0.3402	0.006869209798177067	0.3221	-0.011230790201822938	0.3256	-0.007730790201822935	0.3345	0.0011692097981770844	0.3328	-0.0005307902018229504	0.331	-0.0023307902018229187
4	5.856	0.366	0.33333079020182294	nan	0.00023828609846532345	0.00191500096116215	0.3596	0.02626920979817704	0.3303	-0.0030307902018229527	0.3416	0.00826920979817708	0.3361	0.0027692097981770747	0.3302	-0.0031307902018229417	0.3341	0.0007692097981770729	0.3368	0.003469209798177053	0.3291	-0.0042307902018229315	0.3341	0.0007692097981770729	0.3321	-0.0012307902018229289	0.3405	0.00716920979817709	0.3324	-0.0009307902018229619	0.334	0.0006692097981770839	0.3284	-0.00493079020182291	0.3413	0.007969209798177057	0.3345	0.0011692097981770844	0.3235	-0.009830790201822925	0.3271	-0.006230790201822933
5	5.744	0.359	0.33333079020182294	nan	0.0003807509201578796	0.00216080853715539	0.3566	0.023269209798177037	0.3377	0.004369209798177065	0.3314	-0.0019307902018229628	0.3364	0.0030692097981770416	0.3396	0.006269209798177078	0.339	0.005669209798177088	0.3334	6.920979817703898e-05	0.3374	0.0040692097981770425	0.3346	0.0012692097981770734	0.33	-0.0033307902018229196	0.3361	0.0027692097981770747	0.3285	-0.004830790201822921	0.3296	-0.003730790201822931	0.3246	-0.008730790201822936	0.3298	-0.003530790201822953	0.3387	0.005369209798177066	0.3373	0.0039692097981770535	0.3244	-0.008930790201822913
6	5.632	0.352	0.33333079020182294	nan	0.00043259043013677	0.002415528637357056	0.358	0.02466920979817705	0.3408	0.007469209798177057	0.3399	0.006569209798177045	0.3258	-0.007530790201822957	0.3408	0.007469209798177057	0.3281	-0.005230790201822932	0.3319	-0.0014307902018229623	0.3265	-0.006830790201822923	0.3376	0.004269209798177076	0.3421	0.00876920979817708	0.3338	0.00046920979817705044	0.333	-0.00033079020182291696	0.3321	-0.0012307902018229289	0.3339	0.0005692097981770394	0.3372	0.0038692097981770646	0.3275	-0.005830790201822922	0.337	0.0036692097981770866	0.3378	0.004469209798177054
7	5.52	0.345	0.33333079020182294	nan	0.0010384113993495703	0.004034215467981994	0.3672	0.03386920979817709	0.3456	0.012269209798177083	0.3287	-0.004630790201822943	0.3363	0.0029692097981770527	0.3329	-0.00043079020182296146	0.3348	0.0014692097981770513	0.3338	0.00046920979817705044	0.3361	0.0027692097981770747	0.3268	-0.006530790201822956	0.3346	0.0012692097981770734	0.3313	-0.0020307902018229518	0.33	-0.0033307902018229196	0.33	-0.0033307902018229196	0.3354	0.0020692097981770408	0.3307	-0.002630790201822941	0.3373	0.0039692097981770535	0.3314	-0.0019307902018229628	0.3347	0.0013692097981770623
8	5.408	0.338	0.33333079020182294	nan	0.00042930024210363626	0.0024671433493494987	0.3592	0.025869209798177084	0.3431	0.009769209798177081	0.3268	-0.006530790201822956	0.3265	-0.006830790201822923	0.3414	0.008069209798177046	0.3335	0.00016920979817708348	0.337	0.0036692097981770866	0.3367	0.003369209798177064	0.3423	0.008969209798177058	0.3314	-0.0019307902018229628	0.3305	-0.002830790201822919	0.3418	0.008469209798177058	0.3296	-0.003730790201822931	0.3293	-0.0040307902018229536	0.3303	-0.0030307902018229527	0.3403	0.006969209798177056	0.3371	0.0037692097981770756	0.3314	-0.0019307902018229628
9	5.296	0.331	0.33333079020182294	nan	0.002072429924737662	0.006989626795984805	0.3714	0.03806920979817707	0.3421	0.00876920979817708	0.328	-0.005330790201822921	0.335	0.0016692097981770848	0.3304	-0.002930790201822908	0.3294	-0.003930790201822909	0.34	0.006669209798177089	0.3329	-0.00043079020182296146	0.3368	0.003469209798177053	0.3335	0.00016920979817708348	0.336	0.0026692097981770857	0.3321	-0.0012307902018229289	0.3357	0.0023692097981770632	0.3356	0.0022692097981770742	0.3286	-0.004730790201822932	0.3371	0.0037692097981770756	0.328	-0.005330790201822921	0.3321	-0.0012307902018229289
10	5.184	0.324	0.33333079020182294	nan	0.013181700371205807	0.03848609630949795	0.3791	0.04576920979817706	0.3482	0.014869209798177074	0.3413	0.007969209798177057	0.3457	0.012369209798177072	0.3367	0.003369209798177064	0.3376	0.004269209798177076	0.3318	-0.0015307902018229513	0.3369	0.003569209798177042	0.3314	-0.0019307902018229628	0.3318	-0.0015307902018229513	0.3256	-0.007730790201822935	0.3276	-0.005730790201822933	0.3314	-0.0019307902018229628	0.3327	-0.0006307902018229394	0.3251	-0.008230790201822935	0.3177	-0.015630790201822953	0.3218	-0.01153079020182296	0.3178	-0.015530790201822908
11	5.072	0.317	0.33333079020182294	3.815676280422023	0.02916793734766543	0.08402850455604494	0.3814	0.04806920979817708	0.3642	0.03086920979817709	0.3622	0.028869209798177087	0.3558	0.02246920979817707	0.3492	0.015869209798177075	0.3404	0.007069209798177045	0.3418	0.008469209798177058	0.3384	0.005069209798177043	0.3465	0.01316920979817704	0.3288	-0.004530790201822954	0.3305	-0.002830790201822919	0.331	-0.0023307902018229187	0.3147	-0.018630790201822955	0.3186	-0.01473079020182294	0.3134	-0.019930790201822923	0.31	-0.023330790201822937	0.3086	-0.02473079020182295	0.3066	-0.02673079020182295
12	4.96	0.31	0.33333079020182294	3.1436496784337993	0.05086729064350948	0.14555207861121744	0.4087	0.07536920979817707	0.3796	0.04626920979817706	0.3731	0.03976920979817705	0.3617	0.028369209798177086	0.3558	0.02246920979817707	0.341	0.00766920979817709	0.3467	0.013369209798177073	0.3378	0.004469209798177054	0.3274	-0.005930790201822911	0.3229	-0.010430790201822915	0.3293	-0.0040307902018229536	0.3237	-0.009630790201822947	0.31	-0.023330790201822937	0.3057	-0.027630790201822908	0.298	-0.03533079020182295	0.2867	-0.046630790201822925	0.2949	-0.03843079020182294	0.2859	-0.04743079020182295
13	4.848	0.303	0.33333079020182294	3.860959599157744	0.06688244524411857	0.1912681981921196	0.4228	0.08946920979817707	0.3838	0.05046920979817704	0.3761	0.042769209798177055	0.3691	0.03576920979817705	0.3743	0.040969209798177086	0.3566	0.023269209798177037	0.3493	0.015969209798177064	0.3391	0.005769209798177077	0.3389	0.005569209798177044	0.3279	-0.00543079020182291	0.3119	-0.021430790201822925	0.3065	-0.02683079020182294	0.3081	-0.02523079020182295	0.3004	-0.032930790201822935	0.2879	-0.045430790201822946	0.2936	-0.03973079020182291	0.2748	-0.058530790201822946	0.2633	-0.07003079020182296
14	4.736	0.296	0.33333079020182294	3.632714941337781	0.08433208893984556	0.24118693976197392	0.4435	0.11016920979817707	0.4081	0.07476920979817708	0.3879	0.05456920979817709	0.377	0.04366920979817707	0.3785	0.04516920979817707	0.3605	0.027169209798177052	0.3533	0.019969209798177068	0.3451	0.011769209798177083	0.3407	0.007369209798177068	0.3273	-0.006030790201822955	0.3226	-0.010730790201822937	0.3066	-0.02673079020182295	0.2919	-0.04143079020182294	0.2862	-0.047130790201822925	0.2778	-0.055530790201822944	0.2728	-0.06053079020182295	0.2538	-0.07953079020182291	0.2407	-0.09263079020182294
15	4.624	0.289	0.33333079020182294	3.8538338585476404	0.1027385164052248	0.2939088731072843	0.4539	0.12056920979817709	0.4183	0.08496920979817707	0.3977	0.06436920979817706	0.3864	0.053069209798177086	0.3761	0.042769209798177055	0.3713	0.037969209798177084	0.3568	0.02346920979817707	0.3446	0.011269209798177082	0.3365	0.003169209798177086	0.3293	-0.0040307902018229536	0.3091	-0.02423079020182295	0.3006	-0.03273079020182296	0.2937	-0.03963079020182292	0.2746	-0.058730790201822924	0.2571	-0.07623079020182294	0.2548	-0.07853079020182291	0.2372	-0.09613079020182294	0.2375	-0.09583079020182295
16	4.512	0.282	0.33333079020182294	4.100582066816789	0.12125726381782442	0.3496705873403698	0.4741	0.1407692097981771	0.4306	0.09726920979817705	0.4175	0.08416920979817705	0.406	0.07266920979817709	0.3834	0.05006920979817708	0.3775	0.04416920979817707	0.365	0.031669209798177056	0.3528	0.019469209798177067	0.3271	-0.006230790201822933	0.311	-0.022330790201822937	0.3035	-0.029830790201822943	0.29	-0.043330790201822955	0.27	-0.06333079020182292	0.2735	-0.059830790201822914	0.2529	-0.08043079020182292	0.2389	-0.09443079020182293	0.2262	-0.10713079020182292	0.2104	-0.12293079020182293
17	4.4	0.275	0.33333079020182294	4.507518816090335	0.139322703180369	0.4075922864722088	0.483	0.14966920979817705	0.4484	0.11506920979817709	0.433	0.09966920979817706	0.417	0.08366920979817705	0.4032	0.06986920979817707	0.3885	0.05516920979817708	0.3695	0.03616920979817706	0.3484	0.015069209798177052	0.3329	-0.00043079020182296146	0.3132	-0.020130790201822957	0.2992	-0.034130790201822914	0.2977	-0.035630790201822915	0.2686	-0.06473079020182293	0.2532	-0.08013079020182295	0.2363	-0.09703079020182293	0.2239	-0.10943079020182295	0.218	-0.11533079020182294	0.2004	-0.13293079020182294
18	4.288	0.268	0.33333079020182294	4.225638848174622	0.1625142494449392	0.4846255562733859	0.5075	0.17416920979817702	0.4721	0.13876920979817708	0.4408	0.10746920979817709	0.4289	0.09556920979817707	0.4111	0.07776920979817709	0.393	0.05966920979817708	0.3679	0.03456920979817707	0.3521	0.01876920979817709	0.3324	-0.0009307902018229619	0.3061	-0.027230790201822952	0.2948	-0.03853079020182293	0.2765	-0.05683079020182291	0.2626	-0.07073079020182294	0.2483	-0.08503079020182294	0.2306	-0.10273079020182294	0.2179	-0.11543079020182292	0.1972	-0.13613079020182295	0.1822	-0.15113079020182293
19	4.176	0.261	0.33333079020182294	4.089548083508116	0.18464280187617987	0.5635283100418746	0.5318	0.19846920979817712	0.4856	0.15226920979817704	0.4714	0.13806920979817705	0.4313	0.09796920979817708	0.4237	0.09036920979817709	0.3941	0.06076920979817707	0.3724	0.039069209798177074	0.3498	0.016469209798177065	0.3225	-0.010830790201822926	0.3166	-0.016730790201822943	0.2946	-0.03873079020182296	0.2737	-0.059630790201822936	0.2568	-0.07653079020182296	0.2394	-0.09393079020182293	0.2104	-0.12293079020182293	0.2002	-0.13313079020182295	0.1788	-0.15453079020182295	0.1723	-0.16103079020182293
20	4.064	0.254	0.33333079020182294	4.200726840755586	0.2111591313732788	0.6588905069511384	0.5542	0.2208692097981771	0.5137	0.1803692097981771	0.485	0.15166920979817705	0.4645	0.1311692097981771	0.4289	0.09556920979817707	0.4052	0.07186920979817707	0.3722	0.03886920979817704	0.3561	0.022769209798177092	0.3277	-0.005630790201822944	0.3164	-0.01693079020182292	0.2882	-0.04513079020182292	0.2632	-0.07013079020182295	0.2459	-0.08743079020182293	0.2248	-0.10853079020182294	0.2028	-0.13053079020182293	0.1806	-0.15273079020182292	0.1569	-0.17643079020182292	0.1437	-0.18963079020182294
21	3.952	0.247	0.33333079020182294	4.297467789138058	0.2309636675636284	0.7349543110467494	0.5811	0.24776920979817701	0.5391	0.2057692097981771	0.5094	0.17606920979817703	0.4706	0.13726920979817708	0.4414	0.10806920979817708	0.4195	0.08616920979817705	0.3814	0.04806920979817708	0.3648	0.03146920979817708	0.3346	0.0012692097981770734	0.3083	-0.025030790201822917	0.2793	-0.05403079020182294	0.2549	-0.07843079020182292	0.2354	-0.09793079020182294	0.2166	-0.11673079020182295	0.1871	-0.14623079020182295	0.1714	-0.16193079020182294	0.1475	-0.18583079020182294	0.1302	-0.20313079020182293
22	3.84	0.24	0.33333079020182294	4.248375651541873	0.2525635663769208	0.8180963492486626	0.6039	0.27056920979817706	0.5541	0.2207692097981771	0.5162	0.18286920979817706	0.4874	0.15406920979817706	0.4455	0.11216920979817707	0.4248	0.09146920979817708	0.3928	0.05946920979817705	0.3613	0.027969209798177075	0.3275	-0.005830790201822922	0.3004	-0.032930790201822935	0.2689	-0.06443079020182296	0.255	-0.07833079020182293	0.2233	-0.11003079020182294	0.2097	-0.12363079020182294	0.1736	-0.15973079020182293	0.1593	-0.17403079020182294	0.1315	-0.20183079020182293	0.1144	-0.21893079020182293
23	3.728	0.233	0.33333079020182294	4.090237563766339	0.275957936886698	0.9152520404895768	0.6338	0.3004692097981771	0.575	0.24166920979817702	0.543	0.2096692097981771	0.4896	0.15626920979817704	0.4572	0.12386920979817706	0.4299	0.09656920979817707	0.3981	0.06476920979817707	0.3576	0.02426920979817704	0.3309	-0.0024307902018229077	0.294	-0.03933079020182295	0.2771	-0.05623079020182292	0.2427	-0.09063079020182294	0.213	-0.12033079020182294	0.1954	-0.13793079020182294	0.169	-0.16433079020182292	0.1482	-0.18513079020182294	0.1225	-0.21083079020182294	0.0985	-0.23483079020182293
24	3.616	0.226	0.33333079020182294	4.243255362892357	0.29382094653556123	1.0000032723182812	0.6541	0.3207692097981771	0.5952	0.261869209798177	0.5569	0.22356920979817702	0.5127	0.1793692097981771	0.4733	0.13996920979817706	0.4341	0.10076920979817705	0.4079	0.07456920979817705	0.3632	0.029869209798177088	0.3351	0.0017692097981770738	0.3016	-0.031730790201822956	0.2702	-0.06313079020182294	0.2429	-0.09043079020182293	0.2099	-0.12343079020182293	0.1862	-0.14713079020182293	0.1646	-0.16873079020182294	0.1358	-0.19753079020182293	0.1102	-0.22313079020182292	0.0975	-0.23583079020182293
25	3.504	0.219	0.33333079020182294	4.307061637164255	0.313855288666673	1.0906078644329682	0.6827	0.34936920979817704	0.6175	0.2841692097981771	0.5697	0.23636920979817705	0.5331	0.19976920979817708	0.4856	0.15226920979817704	0.4496	0.11626920979817706	0.414	0.08066920979817704	0.3683	0.03496920979817708	0.3239	-0.009430790201822914	0.2965	-0.03683079020182295	0.2669	-0.06643079020182291	0.2339	-0.09943079020182294	0.2105	-0.12283079020182294	0.1735	-0.15983079020182295	0.1498	-0.18353079020182295	0.1233	-0.21003079020182291	0.1051	-0.22823079020182294	0.0823	-0.25103079020182295
26	3.392	0.212	0.33333079020182294	4.189376819830316	0.33253183704800904	1.1827914488967508	0.6956	0.36226920979817706	0.6434	0.31006920979817704	0.5893	0.2559692097981771	0.5403	0.20696920979817707	0.4974	0.16406920979817707	0.4463	0.11296920979817704	0.4103	0.07696920979817706	0.3617	0.028369209798177086	0.3256	-0.007730790201822935	0.2932	-0.04013079020182292	0.2582	-0.07513079020182295	0.2335	-0.09983079020182292	0.197	-0.13633079020182293	0.1687	-0.16463079020182295	0.1444	-0.18893079020182293	0.1145	-0.21883079020182294	0.0919	-0.24143079020182295	0.0651	-0.26823079020182294
27	3.28	0.205	0.33333079020182294	4.069144802745918	0.34973929275292903	1.2771627290640026	0.7268	0.39346920979817707	0.6648	0.331469209798177	0.6034	0.2700692097981771	0.5567	0.22336920979817704	0.4961	0.16276920979817705	0.4511	0.11776920979817707	0.4103	0.07696920979817706	0.3703	0.03696920979817708	0.3279	-0.00543079020182291	0.2849	-0.04843079020182295	0.2564	-0.07693079020182292	0.2191	-0.11423079020182295	0.1886	-0.14473079020182295	0.1565	-0.17683079020182293	0.1357	-0.19763079020182295	0.1031	-0.23023079020182294	0.0819	-0.2514307902018229	0.0554	-0.27793079020182293
