temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10	q_11	G_11	q_12	G_12	q_13	G_13	q_14	G_14	q_15	G_15	q_16	G_16	q_17	G_17	q_18	G_18	q_19	G_19	q_20	G_20
0	7.0920000000000005	0.394	0.33333269755045575	nan	6.717647920595482e-05	0.00056006640807027	0.3576	0.024267302449544226	0.3425	0.009167302449544279	0.3348	0.0014673024495442388	0.3302	-0.003132697550455754	0.3341	0.0007673024495442604	0.3351	0.0017673024495442613	0.3297	-0.0036326975504557546	0.3361	0.002767302449544262	0.3466	0.013267302449544272	0.3407	0.007367302449544255	0.3414	0.008067302449544234	0.3291	-0.004232697550455744	0.3381	0.004767302449544264	0.3317	-0.0016326975504557528	0.3343	0.0009673024495442384	0.3373	0.003967302449544241	0.3286	-0.0047326975504557445	0.3348	0.0014673024495442388	0.3376	0.0042673024495442635	0.3293	-0.004032697550455766
1	6.966	0.387	0.33333269755045575	nan	3.5923851100960746e-05	0.0004189631872577593	0.3622	0.028867302449544274	0.3311	-0.0022326975504557423	0.3333	-3.26975504557625e-05	0.3294	-0.0039326975504557216	0.3305	-0.0028326975504557317	0.3375	0.0041673024495442745	0.3306	-0.0027326975504557427	0.3248	-0.00853269755045577	0.3255	-0.007832697550455736	0.3368	0.0034673024495442406	0.334	0.0006673024495442714	0.3268	-0.006532697550455768	0.3332	-0.0001326975504557515	0.3357	0.0023673024495442507	0.3312	-0.0021326975504557533	0.3278	-0.005532697550455767	0.3307	-0.0026326975504557537	0.3349	0.0015673024495442278	0.3437	0.010367302449544258	0.3353	0.0019673024495442393
2	6.84	0.38	0.33333269755045575	nan	5.657741712639108e-05	0.0005225585991865955	0.3603	0.02696730244954426	0.3366	0.0032673024495442626	0.3351	0.0017673024495442613	0.3283	-0.005032697550455767	0.3374	0.00406730244954423	0.3376	0.0042673024495442635	0.3379	0.0045673024495442305	0.3252	-0.008132697550455759	0.3232	-0.01013269755045576	0.3331	-0.00023269755045574048	0.3358	0.0024673024495442397	0.3312	-0.0021326975504557533	0.3365	0.0031673024495442736	0.3357	0.0023673024495442507	0.3352	0.0018673024495442503	0.332	-0.0013326975504557304	0.3293	-0.004032697550455766	0.3385	0.005167302449544275	0.3424	0.009067302449544234	0.3264	-0.006932697550455724
3	6.714	0.373	0.33333269755045575	nan	9.025725012179464e-05	0.0006342153719742782	0.3597	0.026367302449544272	0.3435	0.01016730244954428	0.3361	0.002767302449544262	0.3362	0.002867302449544251	0.3306	-0.0027326975504557427	0.3316	-0.0017326975504557418	0.3327	-0.0006326975504557519	0.3332	-0.0001326975504557515	0.3416	0.008267302449544267	0.3342	0.0008673024495442494	0.3352	0.0018673024495442503	0.3286	-0.0047326975504557445	0.327	-0.006332697550455735	0.3338	0.00046730244954423794	0.332	-0.0013326975504557304	0.34	0.006667302449544277	0.3241	-0.009232697550455748	0.339	0.005667302449544276	0.3352	0.0018673024495442503	0.3413	0.007967302449544245
4	6.588	0.366	0.33333269755045575	nan	0.00010583954281173646	0.0006424257808248512	0.3577	0.02436730244954427	0.3302	-0.003132697550455754	0.3413	0.007967302449544245	0.3286	-0.0047326975504557445	0.3367	0.0033673024495442516	0.3302	-0.003132697550455754	0.323	-0.010332697550455738	0.3365	0.0031673024495442736	0.3351	0.0017673024495442613	0.3326	-0.0007326975504557409	0.3287	-0.0046326975504557555	0.3305	-0.0028326975504557317	0.3306	-0.0027326975504557427	0.339	0.005667302449544276	0.3382	0.004867302449544253	0.3449	0.011567302449544237	0.3393	0.005967302449544243	0.3357	0.0023673024495442507	0.3328	-0.000532697550455763	0.3315	-0.0018326975504557308
5	6.462	0.359	0.33333269755045575	nan	7.76189444877673e-05	0.0005957323955954053	0.3556	0.02226730244954428	0.33	-0.003332697550455732	0.3306	-0.0027326975504557427	0.3279	-0.005432697550455723	0.3343	0.0009673024495442384	0.3268	-0.006532697550455768	0.3279	-0.005432697550455723	0.334	0.0006673024495442714	0.3353	0.0019673024495442393	0.334	0.0006673024495442714	0.3285	-0.0048326975504557335	0.3371	0.003767302449544263	0.3332	-0.0001326975504557515	0.3358	0.0024673024495442397	0.333	-0.00033269755045572946	0.3354	0.0020673024495442283	0.3386	0.005267302449544264	0.332	-0.0013326975504557304	0.336	0.002667302449544273	0.3354	0.0020673024495442283
6	6.335999999999999	0.352	0.33333269755045575	nan	9.429837155039422e-05	0.0006495967609225772	0.3563	0.022967302449544258	0.3357	0.0023673024495442507	0.3388	0.005467302449544242	0.335	0.0016673024495442723	0.3333	-3.26975504557625e-05	0.3308	-0.0025326975504557647	0.337	0.003667302449544274	0.3391	0.005767302449544265	0.329	-0.004332697550455733	0.333	-0.00033269755045572946	0.3367	0.0033673024495442516	0.3225	-0.010832697550455739	0.3294	-0.0039326975504557216	0.3254	-0.007932697550455725	0.3382	0.004867302449544253	0.3323	-0.0010326975504557634	0.333	-0.00033269755045572946	0.3433	0.009967302449544246	0.3343	0.0009673024495442384	0.3296	-0.0037326975504557436
7	6.209999999999999	0.345	0.33333269755045575	nan	0.000292476310278289	0.0011898108350578696	0.3626	0.02926730244954423	0.3366	0.0032673024495442626	0.3357	0.0023673024495442507	0.3301	-0.003232697550455743	0.3324	-0.0009326975504557744	0.3366	0.0032673024495442626	0.3364	0.003067302449544229	0.3318	-0.0015326975504557638	0.3294	-0.0039326975504557216	0.3368	0.0034673024495442406	0.3452	0.01186730244954426	0.3307	-0.0026326975504557537	0.3328	-0.000532697550455763	0.3342	0.0008673024495442494	0.3266	-0.006732697550455746	0.329	-0.004332697550455733	0.3356	0.0022673024495442617	0.3312	-0.0021326975504557533	0.3259	-0.007432697550455725	0.3383	0.004967302449544242
8	6.0840000000000005	0.338	0.33333269755045575	nan	0.0002765223471214995	0.001149294141214341	0.3558	0.022467302449544257	0.339	0.005667302449544276	0.3379	0.0045673024495442305	0.3238	-0.009532697550455771	0.3368	0.0034673024495442406	0.3402	0.006867302449544255	0.3276	-0.005732697550455745	0.3299	-0.003432697550455721	0.3359	0.0025673024495442287	0.3315	-0.0018326975504557308	0.337	0.003667302449544274	0.3336	0.00026730244954425997	0.3284	-0.0049326975504557224	0.3438	0.010467302449544247	0.3296	-0.0037326975504557436	0.3346	0.0012673024495442609	0.3279	-0.005432697550455723	0.3277	-0.005632697550455756	0.3305	-0.0028326975504557317	0.3305	-0.0028326975504557317
9	5.958	0.331	0.33333269755045575	nan	0.005488148566655582	0.01594715495593846	0.3727	0.03936730244954423	0.3383	0.004967302449544242	0.3433	0.009967302449544246	0.3367	0.0033673024495442516	0.338	0.004667302449544275	0.3285	-0.0048326975504557335	0.3326	-0.0007326975504557409	0.3287	-0.0046326975504557555	0.3336	0.00026730244954425997	0.3384	0.005067302449544231	0.3229	-0.010432697550455727	0.3298	-0.0035326975504557656	0.3355	0.0021673024495442728	0.3349	0.0015673024495442278	0.3419	0.008567302449544234	0.3267	-0.006632697550455757	0.3259	-0.007432697550455725	0.3265	-0.006832697550455735	0.3291	-0.004232697550455744	0.3295	-0.0038326975504557326
10	5.832	0.324	0.33333269755045575	nan	0.019765383596677566	0.05645621271833079	0.3794	0.04606730244954427	0.3499	0.01656730244954424	0.3456	0.01226730244954427	0.3433	0.009967302449544246	0.3399	0.006567302449544232	0.342	0.008667302449544279	0.3357	0.0023673024495442507	0.3356	0.0022673024495442617	0.3367	0.0033673024495442516	0.3374	0.00406730244954423	0.3254	-0.007932697550455725	0.3273	-0.006032697550455768	0.3242	-0.00913269755045576	0.3213	-0.012032697550455773	0.3219	-0.011432697550455728	0.3229	-0.010432697550455727	0.3168	-0.01653269755045572	0.3205	-0.01283269755045574	0.3194	-0.01393269755045573	0.3125	-0.020832697550455748
11	5.706	0.317	0.33333269755045575	3.9193839975645233	0.039681284495600266	0.11305497842113255	0.4019	0.06856730244954423	0.358	0.024667302449544237	0.3581	0.024767302449544226	0.3584	0.02506730244954425	0.3519	0.018567302449544243	0.3575	0.024167302449544237	0.3494	0.01606730244954424	0.3479	0.01456730244954424	0.3387	0.005367302449544253	0.33	-0.003332697550455732	0.3254	-0.007932697550455725	0.3241	-0.009232697550455748	0.3288	-0.0045326975504557665	0.3234	-0.009932697550455727	0.3106	-0.02273269755045576	0.3128	-0.020532697550455725	0.302	-0.03133269755045576	0.2954	-0.03793269755045575	0.297	-0.03633269755045576	0.2995	-0.03383269755045576
12	5.58	0.31	0.33333269755045575	4.483096098912745	0.056233337865705835	0.160166760237189	0.4093	0.07596730244954425	0.382	0.04866730244954426	0.375	0.04166730244954425	0.3673	0.03396730244954427	0.3617	0.028367302449544274	0.3613	0.027967302449544262	0.3519	0.018567302449544243	0.3504	0.01706730244954424	0.3344	0.0010673024495442274	0.3329	-0.00043269755045577396	0.3322	-0.0011326975504557524	0.3212	-0.012132697550455762	0.3154	-0.017932697550455734	0.3144	-0.018932697550455735	0.2983	-0.03503269755045574	0.2973	-0.03603269755045574	0.2895	-0.04383269755045577	0.2957	-0.03763269755045573	0.2913	-0.042032697550455744	0.2741	-0.05923269755045574
13	5.454	0.303	0.33333269755045575	4.267548372183391	0.07455240571289323	0.21258887039584806	0.4235	0.09016730244954424	0.4004	0.06706730244954423	0.3791	0.045767302449544245	0.3811	0.04776730244954425	0.372	0.03866730244954425	0.3569	0.023567302449544247	0.3569	0.023567302449544247	0.3423	0.008967302449544245	0.3425	0.009167302449544279	0.3354	0.0020673024495442283	0.332	-0.0013326975504557304	0.3129	-0.020432697550455736	0.3155	-0.017832697550455745	0.3122	-0.02113269755045577	0.2965	-0.03683269755045576	0.2911	-0.04223269755045572	0.2755	-0.057832697550455725	0.2712	-0.06213269755045575	0.2685	-0.06483269755045573	0.2619	-0.07143269755045573
14	5.327999999999999	0.296	0.33333269755045575	4.513849281711097	0.09012505293867434	0.25737457850482315	0.4389	0.10556730244954426	0.4069	0.07356730244954424	0.3962	0.06286730244954425	0.3891	0.055767302449544254	0.3786	0.045267302449544244	0.3692	0.035867302449544225	0.3566	0.023267302449544225	0.354	0.020667302449544234	0.3434	0.010067302449544235	0.3352	0.0018673024495442503	0.3215	-0.01183269755045574	0.3157	-0.017632697550455767	0.3021	-0.031232697550455768	0.2964	-0.03693269755045575	0.2866	-0.046732697550455726	0.2769	-0.05643269755045577	0.2668	-0.06653269755045577	0.2636	-0.06973269755045575	0.2558	-0.07753269755045572	0.2488	-0.08453269755045575
15	5.202	0.289	0.33333269755045575	4.719243270003465	0.10795930099993711	0.3100372830303968	0.4587	0.12536730244954425	0.4227	0.08936730244954427	0.4117	0.07836730244954426	0.393	0.05966730244954427	0.3851	0.05176730244954425	0.3812	0.047867302449544236	0.3738	0.04046730244954427	0.3537	0.020367302449544267	0.3436	0.010267302449544269	0.3318	-0.0015326975504557638	0.3181	-0.015232697550455754	0.3238	-0.009532697550455771	0.3146	-0.018732697550455757	0.2916	-0.04173269755045572	0.2784	-0.05493269755045577	0.2676	-0.06573269755045574	0.2531	-0.08023269755045576	0.2467	-0.08663269755045575	0.2313	-0.10203269755045574	0.2316	-0.10173269755045575
16	5.076	0.282	0.33333269755045575	5.063564234138115	0.12565116261248477	0.36459702795400517	0.47	0.13666730244954423	0.4402	0.10686730244954423	0.4211	0.08776730244954423	0.4107	0.07736730244954426	0.4009	0.06756730244954423	0.3829	0.04956730244954427	0.3754	0.042067302449544264	0.3616	0.02826730244954423	0.3452	0.01186730244954426	0.3397	0.006367302449544254	0.3192	-0.014132697550455764	0.3183	-0.01503269755045572	0.296	-0.03733269755045576	0.2869	-0.04643269755045576	0.2792	-0.054132697550455744	0.261	-0.07233269755045574	0.2522	-0.08113269755045577	0.2331	-0.10023269755045575	0.2252	-0.10813269755045574	0.2161	-0.11723269755045576
17	4.95	0.275	0.33333269755045575	4.422211082038218	0.1480631505473866	0.4387598812681972	0.5003	0.16696730244954422	0.4641	0.13076730244954426	0.4371	0.10376730244954424	0.4241	0.09076730244954423	0.407	0.07366730244954423	0.3876	0.05426730244954425	0.3761	0.04276730244954424	0.3594	0.02606730244954425	0.359	0.025667302449544238	0.3306	-0.0027326975504557427	0.3183	-0.01503269755045572	0.3058	-0.02753269755045573	0.2817	-0.05163269755045574	0.2784	-0.05493269755045577	0.2641	-0.06923269755045575	0.2505	-0.08283269755045575	0.2327	-0.10063269755045576	0.2232	-0.11013269755045574	0.2083	-0.12503269755045573	0.2014	-0.13193269755045575
18	4.824	0.268	0.33333269755045575	4.659778139170386	0.17206183886082727	0.520999249216402	0.5213	0.18796730244954424	0.4827	0.14936730244954427	0.458	0.12466730244954427	0.4507	0.11736730244954424	0.418	0.08466730244954424	0.4002	0.06686730244954425	0.3783	0.04496730244954428	0.3761	0.04276730244954424	0.3535	0.020167302449544233	0.3427	0.009367302449544257	0.3162	-0.017132697550455767	0.2975	-0.03583269755045576	0.2887	-0.044632697550455736	0.2608	-0.07253269755045577	0.2516	-0.08173269755045576	0.2368	-0.09653269755045574	0.2162	-0.11713269755045574	0.2107	-0.12263269755045575	0.1902	-0.14313269755045574	0.1832	-0.15013269755045575
19	4.698	0.261	0.33333269755045575	4.724795071199804	0.19458614789618878	0.601383018103661	0.5427	0.2093673024495442	0.5087	0.1753673024495443	0.4792	0.14586730244954427	0.4514	0.11806730244954428	0.4324	0.09906730244954426	0.4162	0.08286730244954427	0.3967	0.06336730244954425	0.3762	0.04286730244954423	0.3511	0.017767302449544276	0.3344	0.0010673024495442274	0.3136	-0.019732697550455758	0.2951	-0.038232697550455774	0.2744	-0.05893269755045577	0.2547	-0.07863269755045577	0.2425	-0.09083269755045575	0.2223	-0.11103269755045575	0.2025	-0.13083269755045573	0.1917	-0.14163269755045574	0.1716	-0.16173269755045575	0.1574	-0.17593269755045574
20	4.572	0.254	0.33333269755045575	4.406568624550509	0.2173565810553555	0.684365257526224	0.5834	0.2500673024495443	0.5268	0.1934673024495443	0.4953	0.16196730244954427	0.4669	0.13356730244954423	0.4459	0.11256730244954427	0.4278	0.09446730244954427	0.3979	0.06456730244954423	0.3733	0.03996730244954427	0.3514	0.018067302449544242	0.3397	0.006367302449544254	0.3133	-0.020032697550455725	0.2898	-0.043532697550455746	0.2748	-0.05853269755045576	0.2406	-0.09273269755045574	0.2322	-0.10113269755045576	0.2193	-0.11403269755045575	0.1958	-0.13753269755045575	0.1791	-0.15423269755045574	0.1607	-0.17263269755045574	0.1393	-0.19403269755045574
21	4.446	0.247	0.33333269755045575	4.78291148485553	0.23917716292271507	0.769274495949503	0.5931	0.2597673024495442	0.5492	0.21586730244954427	0.5181	0.18476730244954426	0.4923	0.15896730244954427	0.4648	0.13146730244954424	0.4331	0.09976730244954424	0.4091	0.07576730244954427	0.3819	0.04856730244954427	0.3567	0.02336730244954427	0.3222	-0.011132697550455761	0.3069	-0.02643269755045574	0.2876	-0.045732697550455725	0.2525	-0.08083269755045575	0.2478	-0.08553269755045576	0.2241	-0.10923269755045575	0.1941	-0.13923269755045575	0.178	-0.15533269755045576	0.1557	-0.17763269755045574	0.143	-0.19033269755045576	0.1265	-0.20683269755045575
22	4.32	0.24000000000000002	0.33333269755045575	4.773439327517326	0.259758933516423	0.8548810076099471	0.61	0.27666730244954424	0.5741	0.2407673024495443	0.5334	0.20006730244954424	0.4933	0.15996730244954427	0.4726	0.13926730244954427	0.4437	0.11036730244954424	0.4085	0.07516730244954423	0.3904	0.05706730244954428	0.3641	0.03076730244954423	0.331	-0.0023326975504557312	0.2969	-0.03643269755045575	0.2813	-0.05203269755045575	0.2611	-0.07223269755045575	0.233	-0.10033269755045574	0.213	-0.12033269755045575	0.1914	-0.14193269755045576	0.1645	-0.16883269755045574	0.1528	-0.18053269755045576	0.1323	-0.20103269755045575	0.1165	-0.21683269755045576
23	4.194	0.23299999999999998	0.33333269755045575	4.66571163760332	0.2804683008507709	0.9444787197717233	0.6355	0.3021673024495442	0.5914	0.2580673024495443	0.5561	0.2227673024495443	0.5156	0.1822673024495442	0.4757	0.14236730244954426	0.4548	0.12146730244954423	0.4202	0.08686730244954427	0.3824	0.04906730244954427	0.3607	0.027367302449544273	0.3308	-0.0025326975504557647	0.3035	-0.029832697550455756	0.2754	-0.05793269755045577	0.2472	-0.08613269755045574	0.2262	-0.10713269755045574	0.2019	-0.13143269755045575	0.1824	-0.15093269755045574	0.1655	-0.16783269755045574	0.1409	-0.19243269755045575	0.1195	-0.21383269755045575	0.0997	-0.23363269755045574
24	4.0680000000000005	0.22600000000000003	0.33333269755045575	4.3745442968909245	0.3046831052743073	1.0583678696493735	0.6835	0.35016730244954425	0.6233	0.2899673024495442	0.5692	0.2358673024495443	0.5326	0.19926730244954421	0.4953	0.16196730244954427	0.4561	0.12276730244954426	0.4242	0.09086730244954427	0.386	0.05266730244954426	0.3598	0.02646730244954426	0.3299	-0.003432697550455721	0.3034	-0.029932697550455745	0.271	-0.06233269755045573	0.2488	-0.08453269755045575	0.2211	-0.11223269755045576	0.1942	-0.13913269755045574	0.1733	-0.16003269755045574	0.1532	-0.18013269755045574	0.1196	-0.21373269755045576	0.1047	-0.22863269755045573	0.0889	-0.24443269755045574
25	3.942	0.219	0.33333269755045575	4.592194684440322	0.3260364282032242	1.1673614278115565	0.7085	0.37516730244954427	0.646	0.31266730244954427	0.6085	0.2751673024495443	0.5571	0.2237673024495443	0.5135	0.1801673024495442	0.4704	0.13706730244954424	0.4308	0.09746730244954427	0.4048	0.07146730244954425	0.3632	0.029867302449544275	0.3288	-0.0045326975504557665	0.3018	-0.031532697550455735	0.2712	-0.06213269755045575	0.2462	-0.08713269755045575	0.2075	-0.12583269755045576	0.187	-0.14633269755045575	0.1587	-0.17463269755045574	0.1365	-0.19683269755045574	0.1092	-0.22413269755045573	0.0886	-0.24473269755045574	0.073	-0.26033269755045574
26	3.816	0.212	0.33333269755045575	4.535922474084486	0.3489655306984787	1.2940559981943807	0.7393	0.4059673024495442	0.6722	0.33886730244954427	0.619	0.28566730244954425	0.5736	0.24026730244954425	0.5234	0.19006730244954423	0.4857	0.15236730244954427	0.4393	0.10596730244954428	0.4008	0.06746730244954424	0.3687	0.03536730244954428	0.3282	-0.005132697550455756	0.2941	-0.039232697550455775	0.2528	-0.08053269755045572	0.2333	-0.10003269755045574	0.2017	-0.13163269755045576	0.1796	-0.15373269755045574	0.1513	-0.18203269755045576	0.122	-0.21133269755045575	0.1032	-0.23013269755045573	0.0742	-0.25913269755045576	0.057	-0.27633269755045575
27	3.69	0.205	0.33333269755045575	4.509675501646451	0.37304282727563987	1.443878112389939	0.7664	0.4330673024495442	0.7106	0.37726730244954426	0.6417	0.3083673024495443	0.591	0.2576673024495442	0.542	0.2086673024495443	0.4884	0.15506730244954425	0.4552	0.12186730244954425	0.4089	0.07556730244954424	0.3602	0.026867302449544272	0.3278	-0.005532697550455767	0.2871	-0.046232697550455726	0.2567	-0.07663269755045576	0.2291	-0.10423269755045575	0.1946	-0.13873269755045575	0.166	-0.16733269755045574	0.1419	-0.19143269755045575	0.1139	-0.21943269755045575	0.0847	-0.24863269755045575	0.0699	-0.26343269755045573	0.0495	-0.28383269755045576
28	3.564	0.198	0.33333269755045575	4.356884752644326	0.39565405580651714	1.59934109038295	0.8151	0.4817673024495443	0.7434	0.4100673024495442	0.6633	0.32996730244954425	0.6139	0.28056730244954425	0.555	0.2216673024495443	0.4986	0.16526730244954424	0.4524	0.11906730244954428	0.4123	0.07896730244954425	0.3689	0.03556730244954426	0.3228	-0.010532697550455772	0.2859	-0.04743269755045576	0.2525	-0.08083269755045575	0.2196	-0.11373269755045576	0.1965	-0.13683269755045574	0.156	-0.17733269755045575	0.1276	-0.20573269755045576	0.1028	-0.23053269755045575	0.0787	-0.25463269755045576	0.0511	-0.28223269755045577	0.0266	-0.30673269755045574
29	3.438	0.191	0.33333269755045575	4.301100161737418	0.41234502847510157	1.7300308234189288	0.8465	0.5131673024495442	0.7612	0.42786730244954424	0.7025	0.36916730244954427	0.6225	0.2891673024495443	0.5597	0.22636730244954423	0.5115	0.1781673024495442	0.4636	0.13026730244954426	0.4118	0.07846730244954425	0.3634	0.030067302449544253	0.3253	-0.00803269755045577	0.2846	-0.04873269755045573	0.2482	-0.08513269755045574	0.2197	-0.11363269755045574	0.1828	-0.15053269755045576	0.1557	-0.17763269755045574	0.1238	-0.20953269755045575	0.0969	-0.23643269755045576	0.0711	-0.26223269755045575	0.0428	-0.29053269755045574	0.0203	-0.31303269755045576
30	3.312	0.184	0.33333269755045575	4.395306376015408	0.4232539783915854	1.8215042199735763	0.8601	0.5267673024495443	0.7832	0.44986730244954426	0.7101	0.3767673024495442	0.6388	0.3054673024495443	0.5804	0.24706730244954428	0.5231	0.18976730244954426	0.4679	0.13456730244954423	0.4076	0.07426730244954427	0.3743	0.040967302449544274	0.3279	-0.005432697550455723	0.2875	-0.04583269755045577	0.2438	-0.08953269755045576	0.2148	-0.11853269755045576	0.1773	-0.15603269755045573	0.1423	-0.19103269755045574	0.1182	-0.21513269755045575	0.0905	-0.24283269755045575	0.0635	-0.26983269755045575	0.0373	-0.29603269755045575	0.0125	-0.32083269755045574
31	3.186	0.177	0.33333269755045575	4.334982639146677	0.43154280662929523	1.890143945987802	0.8753	0.5419673024495442	0.7954	0.46206730244954425	0.7233	0.3899673024495443	0.6437	0.3103673024495443	0.573	0.2396673024495442	0.5187	0.1853673024495443	0.4735	0.14016730244954423	0.4165	0.08316730244954423	0.3751	0.04176730244954424	0.3296	-0.0037326975504557436	0.2839	-0.04943269755045576	0.2445	-0.08883269755045575	0.2068	-0.12653269755045574	0.18	-0.15333269755045575	0.148	-0.18533269755045575	0.1171	-0.21623269755045577	0.0882	-0.24513269755045575	0.0578	-0.27553269755045573	0.0333	-0.30003269755045575	0.0081	-0.32523269755045575
32	3.06	0.17	0.33333269755045575	4.329356057098319	0.4363927675440209	1.934609442447254	0.8826	0.5492673024495442	0.8028	0.4694673024495442	0.721	0.3876673024495442	0.655	0.3216673024495443	0.5809	0.24756730244954422	0.5285	0.19516730244954422	0.4729	0.13956730244954424	0.4132	0.07986730244954426	0.3667	0.03336730244954428	0.3248	-0.00853269755045577	0.2839	-0.04943269755045576	0.2429	-0.09043269755045574	0.2131	-0.12023269755045574	0.1793	-0.15403269755045576	0.1456	-0.18773269755045574	0.1182	-0.21513269755045575	0.0792	-0.25413269755045576	0.0592	-0.2741326975504558	0.0267	-0.30663269755045575	0.0068	-0.3265326975504558
33	2.934	0.163	0.33333269755045575	4.312105648005673	0.43989720868557924	1.9627133348330972	0.8898	0.5564673024495443	0.8052	0.4718673024495443	0.7291	0.3957673024495442	0.6421	0.30876730244954426	0.5845	0.25116730244954427	0.525	0.19166730244954427	0.4699	0.13656730244954424	0.4232	0.08986730244954427	0.3736	0.04026730244954424	0.3296	-0.0037326975504557436	0.2832	-0.05013269755045574	0.2486	-0.08473269755045576	0.2043	-0.12903269755045574	0.171	-0.16233269755045573	0.1424	-0.19093269755045575	0.1125	-0.22083269755045576	0.0802	-0.25313269755045575	0.0533	-0.28003269755045573	0.0293	-0.30403269755045575	0.0028	-0.3305326975504557
34	2.808	0.156	0.33333269755045575	4.303586877131797	0.4418940878167632	1.9792265569631127	0.8961	0.5627673024495443	0.7999	0.4665673024495443	0.7291	0.3957673024495442	0.656	0.3226673024495443	0.576	0.2426673024495442	0.5236	0.1902673024495442	0.4664	0.13306730244954423	0.422	0.08866730244954424	0.3833	0.049967302449544226	0.3269	-0.006432697550455724	0.2872	-0.04613269755045574	0.2438	-0.08953269755045576	0.2066	-0.12673269755045574	0.173	-0.16033269755045576	0.1441	-0.18923269755045574	0.1096	-0.22373269755045574	0.085	-0.24833269755045573	0.0481	-0.28523269755045577	0.03	-0.3033326975504558	0.0021	-0.33123269755045576
