temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq
0	7.880000000000001	0.394	nan	nan	nan	nan
1	7.74	0.387	nan	nan	nan	nan
2	7.6	0.38	nan	nan	nan	nan
3	7.46	0.373	nan	nan	nan	nan
4	7.32	0.366	nan	nan	nan	nan
5	7.18	0.359	nan	nan	nan	nan
6	7.039999999999999	0.352	nan	nan	nan	nan
7	6.8999999999999995	0.345	nan	nan	nan	nan
8	6.760000000000001	0.338	nan	nan	nan	nan
9	6.62	0.331	nan	nan	nan	nan
10	6.48	0.324	nan	nan	nan	nan
11	6.34	0.317	nan	nan	nan	nan
12	6.2	0.31	nan	nan	nan	nan
13	6.06	0.303	nan	nan	nan	nan
14	5.92	0.296	nan	nan	nan	nan
15	5.779999999999999	0.289	nan	nan	nan	nan
16	5.64	0.282	nan	nan	nan	nan
17	5.5	0.275	nan	nan	nan	nan
18	5.36	0.268	nan	nan	nan	nan
19	5.220000000000001	0.261	nan	nan	nan	nan
20	5.08	0.254	nan	nan	nan	nan
21	4.9399999999999995	0.24699999999999997	nan	nan	nan	nan
22	4.8	0.24	nan	nan	nan	nan
23	4.66	0.233	nan	nan	nan	nan
24	4.5200000000000005	0.22600000000000003	nan	nan	nan	nan
25	4.38	0.219	nan	nan	nan	nan
26	4.24	0.21200000000000002	nan	nan	nan	nan
27	4.1	0.205	nan	nan	nan	nan
28	3.96	0.198	nan	nan	nan	nan
29	3.8200000000000003	0.191	nan	nan	nan	nan
30	3.6799999999999997	0.184	nan	nan	nan	nan
31	3.54	0.177	nan	nan	nan	nan
32	3.4000000000000004	0.17	nan	nan	nan	nan
33	3.2600000000000002	0.163	nan	nan	nan	nan
34	3.12	0.156	nan	nan	nan	nan
35	2.98	0.149	nan	nan	nan	nan
36	2.84	0.142	nan	nan	nan	nan
37	2.7	0.135	nan	nan	nan	nan
38	2.56	0.128	nan	nan	nan	nan
39	2.42	0.121	nan	nan	nan	nan
40	2.2800000000000002	0.11400000000000002	nan	nan	nan	nan
41	2.14	0.10700000000000001	nan	nan	nan	nan
42	2.0	0.1	nan	nan	nan	nan
43	2.0	0.1	nan	nan	nan	nan
44	1.5	0.075	nan	nan	nan	nan
45	1.0	0.05	nan	nan	nan	nan
