temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8
0	2.364	0.39399999999999996	0.3307291666666667	nan	0.07220458984375	0.412109375	0.3921	0.06137083333333332	0.3559	0.02517083333333331	0.3412	0.010470833333333318	0.3282	-0.0025291666666666934	0.3206	-0.010129166666666689	0.2998	-0.030929166666666674	0.2777	-0.05302916666666668	0.3311	0.00037083333333332025
1	2.322	0.387	0.3307291666666667	nan	0.05340576171875	0.3924560546875	0.429	0.09827083333333331	0.3513	0.020570833333333316	0.3375	0.006770833333333337	0.3214	-0.009329166666666666	0.3203	-0.010429166666666712	0.3337	0.0029708333333333115	0.3349	0.00417083333333329	0.352	0.021270833333333294
2	2.2800000000000002	0.38000000000000006	0.3307291666666667	nan	0.0416259765625	0.361572265625	0.4032	0.07247083333333332	0.34	0.00927083333333334	0.3261	-0.004629166666666684	0.3205	-0.010229166666666678	0.329	-0.0017291666666666705	0.3287	-0.002029166666666693	0.3484	0.017670833333333302	0.3588	0.028070833333333323
3	2.238	0.373	0.3307291666666667	nan	0.0460205078125	0.3221435546875	0.4066	0.07587083333333333	0.3416	0.01087083333333333	0.3291	-0.0016291666666666815	0.3332	0.002470833333333311	0.3333	0.0025708333333333	0.3227	-0.008029166666666698	0.3266	-0.004129166666666684	0.2975	-0.0332291666666667
4	2.1959999999999997	0.36599999999999994	0.3307291666666667	nan	0.09130859375	0.4638671875	0.4344	0.10367083333333332	0.3631	0.03237083333333329	0.3401	0.009370833333333328	0.3288	-0.001929166666666704	0.3068	-0.023929166666666668	0.297	-0.0337291666666667	0.2945	-0.0362291666666667	0.2994	-0.031329166666666686
5	2.154	0.359	0.3307291666666667	nan	0.0556640625	0.346435546875	0.4135	0.0827708333333333	0.3481	0.017370833333333335	0.3344	0.00367083333333329	0.3224	-0.008329166666666665	0.3214	-0.009329166666666666	0.3275	-0.003229166666666672	0.3164	-0.01432916666666667	0.32	-0.010729166666666679
6	2.112	0.35200000000000004	0.3307291666666667	nan	0.05731201171875	0.4176025390625	0.3878	0.05707083333333329	0.3529	0.022170833333333306	0.3357	0.004970833333333313	0.3233	-0.007429166666666709	0.3331	0.002370833333333322	0.314	-0.016729166666666684	0.3071	-0.0236291666666667	0.331	0.00027083333333333126
7	2.07	0.345	0.3307291666666667	nan	0.05670166015625	0.3507080078125	0.4123	0.08157083333333331	0.3492	0.018470833333333325	0.3277	-0.003029166666666694	0.3205	-0.010229166666666678	0.3179	-0.01282916666666667	0.323	-0.007729166666666676	0.3261	-0.004629166666666684	0.2718	-0.0589291666666667
8	2.028	0.338	0.3307291666666667	nan	0.0875244140625	0.43603515625	0.431	0.10027083333333331	0.3649	0.03417083333333332	0.3366	0.005870833333333325	0.3235	-0.007229166666666675	0.3187	-0.012029166666666702	0.3078	-0.022929166666666667	0.2957	-0.03502916666666667	0.2361	-0.09462916666666668
9	1.9860000000000002	0.331	0.3307291666666667	nan	0.04486083984375	0.3101806640625	0.3979	0.06717083333333329	0.3367	0.005970833333333314	0.3215	-0.009229166666666677	0.3226	-0.008129166666666687	0.3132	-0.017529166666666707	0.3258	-0.004929166666666707	0.3295	-0.00122916666666667	0.336	0.005270833333333336
10	1.944	0.324	0.3307291666666667	1.1634387216937205	0.111083984375	0.530029296875	0.4402	0.1094708333333333	0.3776	0.046870833333333306	0.3498	0.019070833333333315	0.337	0.006270833333333337	0.3013	-0.029429166666666673	0.2889	-0.041829166666666695	0.283	-0.04772916666666671	0.299	-0.0317291666666667
11	1.9020000000000001	0.317	0.3307291666666667	nan	0.0765380859375	0.444580078125	0.4461	0.11537083333333331	0.3638	0.03307083333333333	0.3337	0.0029708333333333115	0.3159	-0.014829166666666671	0.3265	-0.004229166666666673	0.3133	-0.017429166666666662	0.3161	-0.014629166666666693	0.3263	-0.004429166666666706
12	1.8599999999999999	0.31	0.3307291666666667	1.1015794081220889	0.08111572265625	0.421875	0.4136	0.08287083333333334	0.3605	0.029770833333333302	0.3483	0.017570833333333313	0.3296	-0.001129166666666681	0.3202	-0.0105291666666667	0.2945	-0.0362291666666667	0.3066	-0.0241291666666667	0.3253	-0.005429166666666707
13	1.818	0.303	0.3307291666666667	1.10847677326977	0.128173828125	0.632568359375	0.4678	0.1370708333333333	0.3829	0.05217083333333333	0.3571	0.026370833333333288	0.3255	-0.005229166666666674	0.3032	-0.02752916666666666	0.2849	-0.0458291666666667	0.2698	-0.0609291666666667	0.2631	-0.06762916666666668
14	1.7759999999999998	0.296	0.3307291666666667	nan	0.05889892578125	0.3970947265625	0.4185	0.0877708333333333	0.361	0.030270833333333302	0.328	-0.0027291666666666714	0.3247	-0.0060291666666666965	0.322	-0.008729166666666677	0.3084	-0.022329166666666678	0.3334	0.002670833333333289	0.3592	0.028470833333333334
15	1.734	0.289	0.3307291666666667	1.1851959210691836	0.13323974609375	0.637451171875	0.4735	0.1427708333333333	0.3912	0.06047083333333331	0.3581	0.02737083333333329	0.3314	0.0006708333333332872	0.2984	-0.03232916666666669	0.2805	-0.05022916666666666	0.2686	-0.06212916666666668	0.2617	-0.0690291666666667
16	1.6919999999999997	0.282	0.3307291666666667	nan	0.08062744140625	0.4967041015625	0.4522	0.1214708333333333	0.3717	0.04097083333333329	0.3409	0.010170833333333296	0.3203	-0.010429166666666712	0.312	-0.018729166666666686	0.3128	-0.017929166666666663	0.3247	-0.0060291666666666965	0.3637	0.03297083333333334
17	1.6500000000000001	0.275	0.3307291666666667	0.9097593255528332	0.112060546875	0.58251953125	0.4734	0.1426708333333333	0.3793	0.04857083333333334	0.3451	0.014370833333333333	0.313	-0.017729166666666685	0.3163	-0.01442916666666666	0.3021	-0.028629166666666706	0.273	-0.057729166666666665	0.2516	-0.0791291666666667
18	1.608	0.268	0.3307291666666667	1.2226183166424083	0.1435546875	0.6678466796875	0.4705	0.1397708333333333	0.3965	0.06577083333333333	0.3539	0.023170833333333307	0.3389	0.008170833333333294	0.3002	-0.030529166666666663	0.2736	-0.057129166666666675	0.2447	-0.08602916666666668	0.2018	-0.12892916666666668
19	1.566	0.261	0.3307291666666667	nan	0.0980224609375	0.519775390625	0.4525	0.12177083333333333	0.368	0.03727083333333331	0.3415	0.01077083333333334	0.3229	-0.007829166666666665	0.321	-0.009729166666666678	0.3013	-0.029429166666666673	0.2734	-0.05732916666666671	0.2773	-0.053429166666666694
20	1.524	0.254	0.3307291666666667	1.3655908374116597	0.1195068359375	0.5859375	0.4467	0.1159708333333333	0.3871	0.056370833333333314	0.357	0.0262708333333333	0.318	-0.01272916666666668	0.2999	-0.030829166666666685	0.285	-0.04572916666666671	0.27	-0.06072916666666667	0.2866	-0.044129166666666664
21	1.482	0.247	0.3307291666666667	nan	0.11767578125	0.5924072265625	0.4788	0.14807083333333332	0.3776	0.046870833333333306	0.3419	0.011170833333333297	0.3212	-0.0095291666666667	0.3239	-0.006829166666666664	0.2878	-0.042929166666666685	0.2731	-0.057629166666666676	0.2431	-0.08762916666666667
