temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10
0	5.6	0.7	0.030303030303030304	nan	0.00911712646484375	0.291748046875	0.0367	0.0063969696969697	0.0278	-0.0025030303030303055	0.0292	-0.0011030303030303036	0.0346	0.004296969696969695	0.0326	0.002296969696969693	0.0339	0.0035969696969696957	0.0328	0.002496969696969699	0.0276	-0.0027030303030303043	0.0291	-0.001203030303030303	0.021	-0.009303030303030303
1	4.4	0.55	0.030303030303030304	nan	0.00986480712890625	0.315673828125	0.0339	0.0035969696969696957	0.0309	0.0005969696969696965	0.0318	0.001496969696969698	0.0282	-0.0021030303030303045	0.0298	-0.0005030303030303038	0.0305	0.00019696969696969546	0.0299	-0.0004030303030303044	0.0278	-0.0025030303030303055	0.0328	0.002496969696969699	0.0142	-0.016103030303030303
2	3.2	0.4	0.030303030303030304	nan	0.012237548828125	0.3916015625	0.0486	0.018296969696969693	0.0313	0.0009969696969696976	0.0311	0.0007969696969696953	0.0332	0.0028969696969696965	0.0297	-0.0006030303030303032	0.0288	-0.0015030303030303047	0.0311	0.0007969696969696953	0.0303	-3.0303030303033274e-06	0.0224	-0.007903030303030304	0.0109	-0.019403030303030304
3	2.4	0.3	0.030303030303030304	nan	0.009552001953125	0.3056640625	0.0401	0.009796969696969693	0.028	-0.0023030303030303033	0.0296	-0.0007030303030303026	0.0315	0.0011969696969696964	0.0298	-0.0005030303030303038	0.0297	-0.0006030303030303032	0.0276	-0.0027030303030303043	0.0284	-0.0019030303030303022	0.0338	0.003496969696969693	0.0356	0.005296969696969696
4	2.0	0.25	0.030303030303030304	nan	0.012115478515625	0.3876953125	0.0458	0.015496969696969697	0.0303	-3.0303030303033274e-06	0.0344	0.004096969696969696	0.0322	0.0018969696969696956	0.0326	0.002296969696969693	0.0302	-0.00010303030303030272	0.0314	0.0010969696969696935	0.0294	-0.0009030303030303048	0.0245	-0.005803030303030303	0.0198	-0.010503030303030302
5	1.96	0.245	0.030303030303030304	nan	0.013336181640625	0.4267578125	0.0551	0.0247969696969697	0.034	0.0036969696969696986	0.0331	0.0027969696969696936	0.0304	9.696969696969607e-05	0.0272	-0.0031030303030303054	0.029	-0.0013030303030303024	0.0301	-0.0002030303030303056	0.0251	-0.005203030303030303	0.0273	-0.0030030303030303025	0.0211	-0.009203030303030303
6	1.92	0.24	0.030303030303030304	nan	0.01198577880859375	0.383544921875	0.0539	0.0235969696969697	0.0323	0.0019969696969696984	0.0286	-0.0017030303030303034	0.032	0.0016969696969696968	0.0317	0.0013969696969696951	0.0285	-0.0018030303030303028	0.0353	0.004996969696969694	0.031	0.0006969696969696959	0.0361	0.005796969696969696	0.0373	0.006996969696969696
7	1.88	0.235	0.030303030303030304	nan	0.01071929931640625	0.343017578125	0.046	0.015696969696969695	0.0251	-0.005203030303030303	0.0309	0.0005969696969696965	0.029	-0.0013030303030303024	0.032	0.0016969696969696968	0.0334	0.0030969696969696953	0.0301	-0.0002030303030303056	0.0293	-0.0010030303030303042	0.031	0.0006969696969696959	0.0301	-0.0002030303030303056
8	1.84	0.23	0.030303030303030304	nan	0.0119171142578125	0.38134765625	0.0556	0.025296969696969693	0.0302	-0.00010303030303030272	0.0335	0.003196969696969698	0.0291	-0.001203030303030303	0.0308	0.0004969696969696971	0.0295	-0.0008030303030303054	0.0258	-0.004503030303030304	0.0289	-0.0014030303030303053	0.0328	0.002496969696969699	0.0216	-0.008703030303030303
9	1.8	0.225	0.030303030303030304	nan	0.0103759765625	0.33203125	0.0461	0.015796969696969698	0.0313	0.0009969696969696976	0.0276	-0.0027030303030303043	0.0299	-0.0004030303030303044	0.0304	9.696969696969607e-05	0.0287	-0.001603030303030304	0.0291	-0.001203030303030303	0.0297	-0.0006030303030303032	0.0295	-0.0008030303030303054	0.0149	-0.015403030303030304
10	1.76	0.22	0.030303030303030304	nan	0.01216888427734375	0.389404296875	0.0509	0.020596969696969697	0.0332	0.0028969696969696965	0.0323	0.0019969696969696984	0.0287	-0.001603030303030304	0.0307	0.0003969696969696977	0.0283	-0.002003030303030305	0.0314	0.0010969696969696935	0.0299	-0.0004030303030303044	0.0291	-0.001203030303030303	0.0262	-0.004103030303030303
11	1.72	0.215	0.030303030303030304	nan	0.0138397216796875	0.44287109375	0.0555	0.025196969696969697	0.0369	0.006596969696969698	0.0311	0.0007969696969696953	0.0316	0.0012969696969696992	0.0316	0.0012969696969696992	0.029	-0.0013030303030303024	0.0276	-0.0027030303030303043	0.0281	-0.002203030303030304	0.0286	-0.0017030303030303034	0.0313	0.0009969696969696976
12	1.68	0.21	0.030303030303030304	nan	0.01172637939453125	0.375244140625	0.0531	0.022796969696969697	0.0314	0.0010969696969696935	0.0286	-0.0017030303030303034	0.031	0.0006969696969696959	0.0323	0.0019969696969696984	0.029	-0.0013030303030303024	0.0278	-0.0025030303030303055	0.0328	0.002496969696969699	0.0271	-0.0032030303030303048	0.0474	0.017096969696969694
13	1.64	0.205	0.030303030303030304	nan	0.012725830078125	0.4072265625	0.0543	0.023996969696969697	0.0318	0.001496969696969698	0.0298	-0.0005030303030303038	0.0312	0.0008969696969696947	0.028	-0.0023030303030303033	0.0296	-0.0007030303030303026	0.0288	-0.0015030303030303047	0.0275	-0.0028030303030303037	0.0308	0.0004969696969696971	0.0379	0.007596969696969699
14	1.6	0.2	0.030303030303030304	nan	0.01131439208984375	0.362060546875	0.0569	0.026596969696969695	0.03	-0.000303030303030305	0.0317	0.0013969696969696951	0.0287	-0.001603030303030304	0.0274	-0.002903030303030303	0.0295	-0.0008030303030303054	0.0301	-0.0002030303030303056	0.033	0.0026969696969696977	0.036	0.005696969696969693	0.0304	9.696969696969607e-05
15	1.56	0.195	0.030303030303030304	nan	0.01305389404296875	0.417724609375	0.0553	0.024996969696969698	0.0322	0.0018969696969696956	0.0303	-3.0303030303033274e-06	0.0306	0.00029696969696969486	0.0324	0.0020969696969696944	0.0284	-0.0019030303030303022	0.0293	-0.0010030303030303042	0.0291	-0.001203030303030303	0.0282	-0.0021030303030303045	0.0278	-0.0025030303030303055
