temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10	q_11	G_11	q_12	G_12
0	7.0	0.7	0.015384615384615385	nan	0.0030956268310546875	0.1981201171875	0.0156	0.00021538461538461381	0.0162	0.0008153846153846137	0.0168	0.0014153846153846135	0.0137	-0.001684615384615385	0.0139	-0.0014846153846153863	0.0166	0.0012153846153846147	0.0158	0.0004153846153846161	0.0167	0.001315384615384614	0.0151	-0.0002846153846153849	0.0144	-0.0009846153846153859	0.0164	0.001015384615384616	0.0191	0.0037153846153846135
1	5.5	0.55	0.015384615384615385	nan	0.0026712417602539062	0.17095947265625	0.0178	0.0024153846153846144	0.0148	-0.0005846153846153848	0.0142	-0.0011846153846153847	0.016	0.0006153846153846149	0.0139	-0.0014846153846153863	0.0145	-0.0008846153846153847	0.0171	0.0017153846153846151	0.0149	-0.0004846153846153854	0.0154	1.5384615384615025e-05	0.0149	-0.0004846153846153854	0.0156	0.00021538461538461381	0.0137	-0.001684615384615385
2	4.0	0.4	0.015384615384615385	nan	0.0030417442321777344	0.194671630859375	0.0218	0.0064153846153846145	0.0162	0.0008153846153846137	0.0152	-0.0001846153846153855	0.0146	-0.0007846153846153853	0.0157	0.0003153846153846132	0.0169	0.0015153846153846129	0.0159	0.0005153846153846155	0.0147	-0.0006846153846153859	0.0157	0.0003153846153846132	0.0141	-0.0012846153846153858	0.0156	0.00021538461538461381	0.0185	0.0031153846153846136
3	3.0	0.3	0.015384615384615385	nan	0.0029206275939941406	0.186920166015625	0.0226	0.007215384615384613	0.0183	0.002915384615384615	0.0147	-0.0006846153846153859	0.0145	-0.0008846153846153847	0.0156	0.00021538461538461381	0.015	-0.000384615384615386	0.0148	-0.0005846153846153848	0.0161	0.0007153846153846143	0.0154	1.5384615384615025e-05	0.0166	0.0012153846153846147	0.0159	0.0005153846153846155	0.0162	0.0008153846153846137
4	2.5	0.25	0.015384615384615385	nan	0.003082275390625	0.197265625	0.0247	0.009315384615384614	0.0153	-8.46153846153861e-05	0.0153	-8.46153846153861e-05	0.0169	0.0015153846153846129	0.0138	-0.0015846153846153857	0.0137	-0.001684615384615385	0.0135	-0.0018846153846153856	0.0156	0.00021538461538461381	0.0158	0.0004153846153846161	0.0151	-0.0002846153846153849	0.0135	-0.0018846153846153856	0.0168	0.0014153846153846135
5	2.45	0.24500000000000002	0.015384615384615385	nan	0.0030927658081054688	0.19793701171875	0.0217	0.006315384615384615	0.0166	0.0012153846153846147	0.0154	1.5384615384615025e-05	0.0169	0.0015153846153846129	0.0148	-0.0005846153846153848	0.0154	1.5384615384615025e-05	0.014	-0.0013846153846153852	0.0152	-0.0001846153846153855	0.0146	-0.0007846153846153853	0.0143	-0.0010846153846153853	0.0159	0.0005153846153846155	0.0134	-0.001984615384615385
6	2.4	0.24	0.015384615384615385	nan	0.002986431121826172	0.191131591796875	0.0232	0.007815384615384613	0.0154	1.5384615384615025e-05	0.0143	-0.0010846153846153853	0.0173	0.001915384615384614	0.015	-0.000384615384615386	0.0136	-0.0017846153846153862	0.0145	-0.0008846153846153847	0.0144	-0.0009846153846153859	0.0153	-8.46153846153861e-05	0.0147	-0.0006846153846153859	0.0156	0.00021538461538461381	0.0149	-0.0004846153846153854
7	2.3499999999999996	0.23499999999999996	0.015384615384615385	nan	0.0031843185424804688	0.20379638671875	0.0219	0.006515384615384614	0.016	0.0006153846153846149	0.0148	-0.0005846153846153848	0.0181	0.002715384615384616	0.0148	-0.0005846153846153848	0.0139	-0.0014846153846153863	0.0162	0.0008153846153846137	0.0161	0.0007153846153846143	0.0156	0.00021538461538461381	0.0155	0.00011538461538461442	0.0158	0.0004153846153846161	0.0137	-0.001684615384615385
8	2.3000000000000003	0.23000000000000004	0.015384615384615385	nan	0.003261089324951172	0.208709716796875	0.0228	0.007415384615384615	0.0157	0.0003153846153846132	0.0162	0.0008153846153846137	0.0165	0.0011153846153846153	0.017	0.0016153846153846158	0.0164	0.001015384615384616	0.0131	-0.002284615384615385	0.0155	0.00011538461538461442	0.0145	-0.0008846153846153847	0.0173	0.001915384615384614	0.015	-0.000384615384615386	0.0172	0.0018153846153846145
9	2.25	0.225	0.015384615384615385	nan	0.003323078155517578	0.212677001953125	0.0236	0.008215384615384614	0.0162	0.0008153846153846137	0.0144	-0.0009846153846153859	0.0165	0.0011153846153846153	0.0158	0.0004153846153846161	0.0168	0.0014153846153846135	0.0139	-0.0014846153846153863	0.0154	1.5384615384615025e-05	0.0166	0.0012153846153846147	0.0145	-0.0008846153846153847	0.0168	0.0014153846153846135	0.0164	0.001015384615384616
