temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10	q_11	G_11	q_12	G_12	q_13	G_13	q_14	G_14
0	8.399999999999999	0.6999999999999998	0.007751937984496124	nan	0.0008532404899597168	0.10921478271484375	0.0082	0.00044806201550387677	0.007	-0.0007519379844961238	0.0077	-5.1937984496123676e-05	0.0077	-5.1937984496123676e-05	0.0077	-5.1937984496123676e-05	0.009	0.0012480620155038754	0.0082	0.00044806201550387677	0.0068	-0.0009519379844961243	0.0075	-0.0002519379844961242	0.0077	-5.1937984496123676e-05	0.0069	-0.000851937984496124	0.0089	0.001148062015503876	0.0089	0.001148062015503876	0.0077	-5.1937984496123676e-05
1	6.6000000000000005	0.55	0.007751937984496124	nan	0.00087013840675354	0.11137771606445312	0.0085	0.0007480620155038767	0.0073	-0.00045193798449612386	0.0054	-0.0023519379844961236	0.0076	-0.00015193798449612394	0.0077	-5.1937984496123676e-05	0.0082	0.00044806201550387677	0.0072	-0.0005519379844961241	0.0092	0.001448062015503876	0.0086	0.0008480620155038761	0.0064	-0.0013519379844961236	0.0067	-0.0010519379844961237	0.0095	0.0017480620155038758	0.008	0.00024806201550387624	0.0085	0.0007480620155038767
2	4.800000000000001	0.4000000000000001	0.007751937984496124	nan	0.0008633434772491455	0.11050796508789062	0.0098	0.0020480620155038758	0.0099	0.002148062015503877	0.0084	0.0006480620155038756	0.0073	-0.00045193798449612386	0.0084	0.0006480620155038756	0.0081	0.00034806201550387564	0.0091	0.0013480620155038765	0.0086	0.0008480620155038761	0.0079	0.00014806201550387685	0.0076	-0.00015193798449612394	0.0086	0.0008480620155038761	0.0072	-0.0005519379844961241	0.0079	0.00014806201550387685	0.0076	-0.00015193798449612394
3	3.5999999999999996	0.3	0.007751937984496124	nan	0.0008381903171539307	0.10728836059570312	0.0105	0.0027480620155038767	0.0081	0.00034806201550387564	0.0073	-0.00045193798449612386	0.0069	-0.000851937984496124	0.0071	-0.0006519379844961235	0.0073	-0.00045193798449612386	0.0088	0.0010480620155038766	0.0072	-0.0005519379844961241	0.0081	0.00034806201550387564	0.0089	0.001148062015503876	0.0078	4.806201550387572e-05	0.0068	-0.0009519379844961243	0.0088	0.0010480620155038766	0.0076	-0.00015193798449612394
4	3.0	0.25	0.007751937984496124	nan	0.0008950233459472656	0.11456298828125	0.0123	0.004548062015503876	0.0085	0.0007480620155038767	0.0082	0.00044806201550387677	0.0089	0.001148062015503876	0.0088	0.0010480620155038766	0.0069	-0.000851937984496124	0.008	0.00024806201550387624	0.0087	0.0009480620155038755	0.0075	-0.0002519379844961242	0.0075	-0.0002519379844961242	0.0077	-5.1937984496123676e-05	0.0079	0.00014806201550387685	0.0085	0.0007480620155038767	0.0061	-0.0016519379844961235
5	2.94	0.245	0.007751937984496124	nan	0.0009297430515289307	0.11900711059570312	0.0137	0.0059480620155038764	0.0086	0.0008480620155038761	0.0073	-0.00045193798449612386	0.0069	-0.000851937984496124	0.0085	0.0007480620155038767	0.0095	0.0017480620155038758	0.0091	0.0013480620155038765	0.0068	-0.0009519379844961243	0.0072	-0.0005519379844961241	0.0085	0.0007480620155038767	0.0074	-0.0003519379844961236	0.0081	0.00034806201550387564	0.008	0.00024806201550387624	0.0092	0.001448062015503876
6	2.88	0.24	0.007751937984496124	nan	0.0009204447269439697	0.11781692504882812	0.0116	0.0038480620155038753	0.0072	-0.0005519379844961241	0.0069	-0.000851937984496124	0.0082	0.00044806201550387677	0.0062	-0.0015519379844961241	0.0096	0.0018480620155038752	0.0084	0.0006480620155038756	0.0087	0.0009480620155038755	0.0096	0.0018480620155038752	0.0062	-0.0015519379844961241	0.0087	0.0009480620155038755	0.0088	0.0010480620155038766	0.0089	0.001148062015503876	0.0086	0.0008480620155038761
7	2.82	0.235	0.007751937984496124	nan	0.0008579492568969727	0.1098175048828125	0.0128	0.005048062015503877	0.0067	-0.0010519379844961237	0.0064	-0.0013519379844961236	0.0083	0.0005480620155038762	0.0076	-0.00015193798449612394	0.0094	0.0016480620155038764	0.0078	4.806201550387572e-05	0.0063	-0.0014519379844961239	0.0068	-0.0009519379844961243	0.0069	-0.000851937984496124	0.007	-0.0007519379844961238	0.0068	-0.0009519379844961243	0.0079	0.00014806201550387685	0.0061	-0.0016519379844961235
8	2.7600000000000002	0.23	0.007751937984496124	nan	0.0009340643882751465	0.11956024169921875	0.0111	0.0033480620155038766	0.0069	-0.000851937984496124	0.0082	0.00044806201550387677	0.0082	0.00044806201550387677	0.007	-0.0007519379844961238	0.0081	0.00034806201550387564	0.0075	-0.0002519379844961242	0.0072	-0.0005519379844961241	0.0077	-5.1937984496123676e-05	0.0083	0.0005480620155038762	0.0075	-0.0002519379844961242	0.0069	-0.000851937984496124	0.0087	0.0009480620155038755	0.0097	0.0019480620155038764
9	2.7	0.225	0.007751937984496124	nan	0.0008137822151184082	0.10416412353515625	0.0123	0.004548062015503876	0.007	-0.0007519379844961238	0.0063	-0.0014519379844961239	0.0071	-0.0006519379844961235	0.0079	0.00014806201550387685	0.0067	-0.0010519379844961237	0.008	0.00024806201550387624	0.0094	0.0016480620155038764	0.0082	0.00044806201550387677	0.0069	-0.000851937984496124	0.0066	-0.001151937984496124	0.0076	-0.00015193798449612394	0.009	0.0012480620155038754	0.0081	0.00034806201550387564
