temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10	q_11	G_11	q_12	G_12	q_13	G_13	q_14	G_14	q_15	G_15	q_16	G_16
0	9.799999999999999	0.7	0.0038910505836575876	nan	0.0002514403313398361	0.06436872482299805	0.0043	0.0004089494163424124	0.0039	8.949416342412218e-06	0.0046	0.0007089494163424123	0.0037	-0.00019105058365758744	0.0035	-0.00039105058365758753	0.0038	-9.105058365758761e-05	0.003	-0.0008910505836575875	0.0043	0.0004089494163424124	0.0052	0.0013089494163424122	0.0036	-0.0002910505836575877	0.0038	-9.105058365758761e-05	0.0033	-0.0005910505836575876	0.0047	0.0008089494163424126	0.004	0.00010894941634241248	0.0042	0.00030894941634241214	0.0039	8.949416342412218e-06
1	7.700000000000001	0.55	0.0038910505836575876	nan	0.0002389661967754364	0.06117534637451172	0.0047	0.0008089494163424126	0.0027	-0.0011910505836575875	0.0035	-0.00039105058365758753	0.0045	0.0006089494163424121	0.0054	0.0015089494163424127	0.005	0.0011089494163424125	0.0043	0.0004089494163424124	0.0043	0.0004089494163424124	0.0046	0.0007089494163424123	0.0029	-0.0009910505836575878	0.0034	-0.0004910505836575878	0.0042	0.00030894941634241214	0.0032	-0.0006910505836575874	0.0053	0.0014089494163424124	0.0044	0.0005089494163424127	0.0039	8.949416342412218e-06
2	5.6000000000000005	0.4	0.0038910505836575876	nan	0.0002532564103603363	0.0648336410522461	0.004	0.00010894941634241248	0.0033	-0.0005910505836575876	0.0036	-0.0002910505836575877	0.0029	-0.0009910505836575878	0.0045	0.0006089494163424121	0.0033	-0.0005910505836575876	0.0038	-9.105058365758761e-05	0.0038	-9.105058365758761e-05	0.0047	0.0008089494163424126	0.0042	0.00030894941634241214	0.0031	-0.0007910505836575877	0.0036	-0.0002910505836575877	0.0031	-0.0007910505836575877	0.0028	-0.0010910505836575876	0.0041	0.00020894941634241274	0.0036	-0.0002910505836575877
3	4.2	0.3	0.0038910505836575876	nan	0.0002464745193719864	0.06309747695922852	0.0051	0.0012089494163424128	0.0034	-0.0004910505836575878	0.0049	0.0010089494163424122	0.0047	0.0008089494163424126	0.0036	-0.0002910505836575877	0.0039	8.949416342412218e-06	0.0025	-0.0013910505836575876	0.0035	-0.00039105058365758753	0.0039	8.949416342412218e-06	0.0057	0.0018089494163424126	0.0045	0.0006089494163424121	0.0048	0.000908949416342412	0.004	0.00010894941634241248	0.0036	-0.0002910505836575877	0.0032	-0.0006910505836575874	0.0046	0.0007089494163424123
4	3.5	0.25	0.0038910505836575876	nan	0.00025088153779506683	0.06422567367553711	0.0052	0.0013089494163424122	0.0043	0.0004089494163424124	0.0049	0.0010089494163424122	0.0048	0.000908949416342412	0.0036	-0.0002910505836575877	0.0045	0.0006089494163424121	0.0033	-0.0005910505836575876	0.0044	0.0005089494163424127	0.0039	8.949416342412218e-06	0.0049	0.0010089494163424122	0.0041	0.00020894941634241274	0.0049	0.0010089494163424122	0.0042	0.00030894941634241214	0.0035	-0.00039105058365758753	0.0034	-0.0004910505836575878	0.0044	0.0005089494163424127
5	3.4299999999999997	0.24499999999999997	0.0038910505836575876	nan	0.00025852955877780914	0.06618356704711914	0.0052	0.0013089494163424122	0.0037	-0.00019105058365758744	0.0038	-9.105058365758761e-05	0.0031	-0.0007910505836575877	0.0041	0.00020894941634241274	0.0042	0.00030894941634241214	0.0045	0.0006089494163424121	0.0035	-0.00039105058365758753	0.0038	-9.105058365758761e-05	0.0035	-0.00039105058365758753	0.0034	-0.0004910505836575878	0.003	-0.0008910505836575875	0.003	-0.0008910505836575875	0.0044	0.0005089494163424127	0.0046	0.0007089494163424123	0.0031	-0.0007910505836575877
6	3.36	0.24	0.0038910505836575876	nan	0.00025030411779880524	0.06407785415649414	0.0056	0.0017089494163424123	0.0042	0.00030894941634241214	0.003	-0.0008910505836575875	0.0048	0.000908949416342412	0.0041	0.00020894941634241274	0.0036	-0.0002910505836575877	0.0039	8.949416342412218e-06	0.0042	0.00030894941634241214	0.0034	-0.0004910505836575878	0.0045	0.0006089494163424121	0.0033	-0.0005910505836575876	0.0047	0.0008089494163424126	0.0055	0.001608949416342412	0.0039	8.949416342412218e-06	0.0033	-0.0005910505836575876	0.0046	0.0007089494163424123
7	3.29	0.23500000000000001	0.0038910505836575876	nan	0.00024446845054626465	0.06258392333984375	0.0042	0.00030894941634241214	0.0035	-0.00039105058365758753	0.003	-0.0008910505836575875	0.0038	-9.105058365758761e-05	0.0031	-0.0007910505836575877	0.0034	-0.0004910505836575878	0.0042	0.00030894941634241214	0.0045	0.0006089494163424121	0.003	-0.0008910505836575875	0.0042	0.00030894941634241214	0.0049	0.0010089494163424122	0.0034	-0.0004910505836575878	0.0029	-0.0009910505836575878	0.0031	-0.0007910505836575877	0.0037	-0.00019105058365758744	0.0048	0.000908949416342412
8	3.22	0.23	0.0038910505836575876	nan	0.00024214759469032288	0.061989784240722656	0.0055	0.001608949416342412	0.0044	0.0005089494163424127	0.0044	0.0005089494163424127	0.0032	-0.0006910505836575874	0.0034	-0.0004910505836575878	0.0052	0.0013089494163424122	0.0037	-0.00019105058365758744	0.0028	-0.0010910505836575876	0.003	-0.0008910505836575875	0.0046	0.0007089494163424123	0.0034	-0.0004910505836575878	0.0036	-0.0002910505836575877	0.0034	-0.0004910505836575878	0.0039	8.949416342412218e-06	0.0043	0.0004089494163424124	0.0043	0.0004089494163424124
9	3.15	0.225	0.0038910505836575876	nan	0.00024691224098205566	0.06320953369140625	0.004	0.00010894941634241248	0.0036	-0.0002910505836575877	0.0036	-0.0002910505836575877	0.0047	0.0008089494163424126	0.0033	-0.0005910505836575876	0.0037	-0.00019105058365758744	0.0029	-0.0009910505836575878	0.0036	-0.0002910505836575877	0.004	0.00010894941634241248	0.0038	-9.105058365758761e-05	0.0042	0.00030894941634241214	0.0044	0.0005089494163424127	0.0034	-0.0004910505836575878	0.0037	-0.00019105058365758744	0.0045	0.0006089494163424121	0.0041	0.00020894941634241274
10	3.08	0.22	0.0038910505836575876	nan	0.0002435501664876938	0.06234884262084961	0.0051	0.0012089494163424128	0.0044	0.0005089494163424127	0.0039	8.949416342412218e-06	0.005	0.0011089494163424125	0.0042	0.00030894941634241214	0.0034	-0.0004910505836575878	0.0039	8.949416342412218e-06	0.0035	-0.00039105058365758753	0.0039	8.949416342412218e-06	0.0045	0.0006089494163424121	0.0042	0.00030894941634241214	0.0043	0.0004089494163424124	0.0034	-0.0004910505836575878	0.0049	0.0010089494163424122	0.0042	0.00030894941634241214	0.0023	-0.0015910505836575876
11	3.01	0.215	0.0038910505836575876	nan	0.00023887120187282562	0.06115102767944336	0.0054	0.0015089494163424127	0.0034	-0.0004910505836575878	0.0046	0.0007089494163424123	0.0042	0.00030894941634241214	0.0043	0.0004089494163424124	0.0048	0.000908949416342412	0.0036	-0.0002910505836575877	0.004	0.00010894941634241248	0.0039	8.949416342412218e-06	0.0029	-0.0009910505836575878	0.0045	0.0006089494163424121	0.004	0.00010894941634241248	0.0051	0.0012089494163424128	0.0041	0.00020894941634241274	0.0046	0.0007089494163424123	0.0035	-0.00039105058365758753
12	2.94	0.21	0.0038910505836575876	nan	0.0002442803233861923	0.06253576278686523	0.0039	8.949416342412218e-06	0.0046	0.0007089494163424123	0.0036	-0.0002910505836575877	0.0037	-0.00019105058365758744	0.0037	-0.00019105058365758744	0.0035	-0.00039105058365758753	0.0042	0.00030894941634241214	0.0034	-0.0004910505836575878	0.0038	-9.105058365758761e-05	0.0042	0.00030894941634241214	0.0029	-0.0009910505836575878	0.0042	0.00030894941634241214	0.0039	8.949416342412218e-06	0.0034	-0.0004910505836575878	0.0035	-0.00039105058365758753	0.0055	0.001608949416342412
13	2.8699999999999997	0.205	0.0038910505836575876	nan	0.00024700723588466644	0.06323385238647461	0.0063	0.0024089494163424124	0.0047	0.0008089494163424126	0.0058	0.001908949416342412	0.0034	-0.0004910505836575878	0.0047	0.0008089494163424126	0.004	0.00010894941634241248	0.0051	0.0012089494163424128	0.0052	0.0013089494163424122	0.0045	0.0006089494163424121	0.0036	-0.0002910505836575877	0.0035	-0.00039105058365758753	0.0046	0.0007089494163424123	0.0033	-0.0005910505836575876	0.005	0.0011089494163424125	0.0033	-0.0005910505836575876	0.0036	-0.0002910505836575877
14	2.8000000000000003	0.2	0.0038910505836575876	nan	0.00024227425456047058	0.06202220916748047	0.0063	0.0024089494163424124	0.0046	0.0007089494163424123	0.0029	-0.0009910505836575878	0.0039	8.949416342412218e-06	0.0043	0.0004089494163424124	0.0027	-0.0011910505836575875	0.004	0.00010894941634241248	0.0045	0.0006089494163424121	0.0036	-0.0002910505836575877	0.0054	0.0015089494163424127	0.0031	-0.0007910505836575877	0.0032	-0.0006910505836575874	0.0026	-0.0012910505836575877	0.0039	8.949416342412218e-06	0.0044	0.0005089494163424127	0.0052	0.0013089494163424122
15	2.73	0.195	0.0038910505836575876	nan	0.000245850533246994	0.06293773651123047	0.0048	0.000908949416342412	0.0046	0.0007089494163424123	0.0034	-0.0004910505836575878	0.0037	-0.00019105058365758744	0.0035	-0.00039105058365758753	0.0047	0.0008089494163424126	0.0049	0.0010089494163424122	0.0028	-0.0010910505836575876	0.0049	0.0010089494163424122	0.0037	-0.00019105058365758744	0.0041	0.00020894941634241274	0.0044	0.0005089494163424127	0.0037	-0.00019105058365758744	0.0047	0.0008089494163424126	0.0032	-0.0006910505836575874	0.0036	-0.0002910505836575877
16	2.66	0.19	0.0038910505836575876	nan	0.0002548322081565857	0.06523704528808594	0.0035	-0.00039105058365758753	0.0039	8.949416342412218e-06	0.0048	0.000908949416342412	0.0048	0.000908949416342412	0.0043	0.0004089494163424124	0.0029	-0.0009910505836575878	0.0039	8.949416342412218e-06	0.0035	-0.00039105058365758753	0.0044	0.0005089494163424127	0.004	0.00010894941634241248	0.0036	-0.0002910505836575877	0.0037	-0.00019105058365758744	0.005	0.0011089494163424125	0.005	0.0011089494163424125	0.0042	0.00030894941634241214	0.0043	0.0004089494163424124
17	2.59	0.185	0.0038910505836575876	nan	0.0002476796507835388	0.06340599060058594	0.0054	0.0015089494163424127	0.0046	0.0007089494163424123	0.0048	0.000908949416342412	0.0043	0.0004089494163424124	0.0032	-0.0006910505836575874	0.0042	0.00030894941634241214	0.004	0.00010894941634241248	0.0039	8.949416342412218e-06	0.0035	-0.00039105058365758753	0.0042	0.00030894941634241214	0.0047	0.0008089494163424126	0.0031	-0.0007910505836575877	0.0046	0.0007089494163424123	0.0032	-0.0006910505836575874	0.0045	0.0006089494163424121	0.0042	0.00030894941634241214
18	2.52	0.18	0.0038910505836575876	nan	0.00025198981165885925	0.06450939178466797	0.0038	-9.105058365758761e-05	0.0047	0.0008089494163424126	0.0037	-0.00019105058365758744	0.0038	-9.105058365758761e-05	0.0039	8.949416342412218e-06	0.0051	0.0012089494163424128	0.0042	0.00030894941634241214	0.0038	-9.105058365758761e-05	0.0033	-0.0005910505836575876	0.0037	-0.00019105058365758744	0.0044	0.0005089494163424127	0.0047	0.0008089494163424126	0.0035	-0.00039105058365758753	0.0056	0.0017089494163424123	0.0036	-0.0002910505836575877	0.0048	0.000908949416342412
19	2.4499999999999997	0.175	0.0038910505836575876	nan	0.0002477634698152542	0.06342744827270508	0.006	0.0021089494163424125	0.004	0.00010894941634241248	0.0041	0.00020894941634241274	0.0032	-0.0006910505836575874	0.0038	-9.105058365758761e-05	0.0033	-0.0005910505836575876	0.0038	-9.105058365758761e-05	0.0049	0.0010089494163424122	0.0039	8.949416342412218e-06	0.0044	0.0005089494163424127	0.0045	0.0006089494163424121	0.0038	-9.105058365758761e-05	0.0041	0.00020894941634241274	0.0051	0.0012089494163424128	0.0046	0.0007089494163424123	0.003	-0.0008910505836575875
20	2.3800000000000003	0.17	0.0038910505836575876	nan	0.0002553258091211319	0.06536340713500977	0.007	0.0031089494163424125	0.0045	0.0006089494163424121	0.0036	-0.0002910505836575877	0.0047	0.0008089494163424126	0.0039	8.949416342412218e-06	0.004	0.00010894941634241248	0.0042	0.00030894941634241214	0.0028	-0.0010910505836575876	0.0039	8.949416342412218e-06	0.0038	-9.105058365758761e-05	0.0034	-0.0004910505836575878	0.0037	-0.00019105058365758744	0.003	-0.0008910505836575875	0.0037	-0.00019105058365758744	0.0047	0.0008089494163424126	0.004	0.00010894941634241248
