temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10	q_11	G_11	q_12	G_12	q_13	G_13	q_14	G_14	q_15	G_15	q_16	G_16	q_17	G_17	q_18	G_18	q_19	G_19	q_20	G_20
0	12.6	0.7	0.000975609756097561	nan	1.9071812857873738e-05	0.019529536366462708	0.0007	-0.000275609756097561	0.0008	-0.00017560975609756094	0.0014	0.000424390243902439	0.001	2.4390243902439046e-05	0.001	2.4390243902439046e-05	0.0009	-7.5609756097561e-05	0.0013	0.00032439024390243897	0.0011	0.0001243902439024391	0.0012	0.00022439024390243892	0.0006	-0.00037560975609756103	0.0013	0.00032439024390243897	0.0012	0.00022439024390243892	0.0011	0.0001243902439024391	0.001	2.4390243902439046e-05	0.0007	-0.000275609756097561	0.0012	0.00022439024390243892	0.0009	-7.5609756097561e-05	0.0009	-7.5609756097561e-05	0.001	2.4390243902439046e-05	0.001	2.4390243902439046e-05
1	9.9	0.55	0.000975609756097561	nan	1.9119841454084963e-05	0.019578717648983	0.0004	-0.000575609756097561	0.0002	-0.000775609756097561	0.001	2.4390243902439046e-05	0.0007	-0.000275609756097561	0.0011	0.0001243902439024391	0.001	2.4390243902439046e-05	0.0004	-0.000575609756097561	0.0009	-7.5609756097561e-05	0.0006	-0.00037560975609756103	0.0008	-0.00017560975609756094	0.0017	0.0007243902439024389	0.0018	0.000824390243902439	0.0014	0.000424390243902439	0.001	2.4390243902439046e-05	0.0008	-0.00017560975609756094	0.0007	-0.000275609756097561	0.0013	0.00032439024390243897	0.001	2.4390243902439046e-05	0.0012	0.00022439024390243892	0.0006	-0.00037560975609756103
2	7.2	0.4	0.000975609756097561	nan	1.934873580466956e-05	0.01981310546398163	0.0008	-0.00017560975609756094	0.0007	-0.000275609756097561	0.0011	0.0001243902439024391	0.0007	-0.000275609756097561	0.0012	0.00022439024390243892	0.0013	0.00032439024390243897	0.0012	0.00022439024390243892	0.0013	0.00032439024390243897	0.0012	0.00022439024390243892	0.0009	-7.5609756097561e-05	0.0007	-0.000275609756097561	0.001	2.4390243902439046e-05	0.0009	-7.5609756097561e-05	0.0011	0.0001243902439024391	0.0014	0.000424390243902439	0.0008	-0.00017560975609756094	0.0014	0.000424390243902439	0.0011	0.0001243902439024391	0.0007	-0.000275609756097561	0.0004	-0.000575609756097561
3	5.3999999999999995	0.3	0.000975609756097561	nan	1.9268409232608974e-05	0.01973085105419159	0.0011	0.0001243902439024391	0.0011	0.0001243902439024391	0.001	2.4390243902439046e-05	0.0009	-7.5609756097561e-05	0.0013	0.00032439024390243897	0.0017	0.0007243902439024389	0.0006	-0.00037560975609756103	0.0012	0.00022439024390243892	0.0014	0.000424390243902439	0.0004	-0.000575609756097561	0.001	2.4390243902439046e-05	0.0018	0.000824390243902439	0.0013	0.00032439024390243897	0.0009	-7.5609756097561e-05	0.0009	-7.5609756097561e-05	0.0011	0.0001243902439024391	0.0002	-0.000775609756097561	0.0011	0.0001243902439024391	0.0009	-7.5609756097561e-05	0.0005	-0.00047560975609756096
4	4.5	0.25	0.000975609756097561	nan	1.907833939185366e-05	0.019536219537258148	0.0013	0.00032439024390243897	0.0013	0.00032439024390243897	0.0013	0.00032439024390243897	0.0014	0.000424390243902439	0.001	2.4390243902439046e-05	0.001	2.4390243902439046e-05	0.0012	0.00022439024390243892	0.0012	0.00022439024390243892	0.001	2.4390243902439046e-05	0.0008	-0.00017560975609756094	0.0009	-7.5609756097561e-05	0.0018	0.000824390243902439	0.001	2.4390243902439046e-05	0.0009	-7.5609756097561e-05	0.0007	-0.000275609756097561	0.0008	-0.00017560975609756094	0.0004	-0.000575609756097561	0.0012	0.00022439024390243892	0.0009	-7.5609756097561e-05	0.0005	-0.00047560975609756096
5	4.41	0.245	0.000975609756097561	nan	1.9216458895243704e-05	0.019677653908729553	0.0014	0.000424390243902439	0.0008	-0.00017560975609756094	0.0008	-0.00017560975609756094	0.0003	-0.0006756097560975611	0.001	2.4390243902439046e-05	0.0013	0.00032439024390243897	0.0012	0.00022439024390243892	0.0009	-7.5609756097561e-05	0.0011	0.0001243902439024391	0.0012	0.00022439024390243892	0.0007	-0.000275609756097561	0.0009	-7.5609756097561e-05	0.0005	-0.00047560975609756096	0.0008	-0.00017560975609756094	0.0013	0.00032439024390243897	0.0009	-7.5609756097561e-05	0.001	2.4390243902439046e-05	0.0013	0.00032439024390243897	0.0018	0.000824390243902439	0.0014	0.000424390243902439
6	4.32	0.24000000000000002	0.000975609756097561	nan	1.9262181012891233e-05	0.019724473357200623	0.0016	0.0006243902439024391	0.0012	0.00022439024390243892	0.0006	-0.00037560975609756103	0.0009	-7.5609756097561e-05	0.0012	0.00022439024390243892	0.0013	0.00032439024390243897	0.0012	0.00022439024390243892	0.0006	-0.00037560975609756103	0.0009	-7.5609756097561e-05	0.0012	0.00022439024390243892	0.0012	0.00022439024390243892	0.0012	0.00022439024390243892	0.0004	-0.000575609756097561	0.0006	-0.00037560975609756103	0.0013	0.00032439024390243897	0.0009	-7.5609756097561e-05	0.0013	0.00032439024390243897	0.0015	0.0005243902439024391	0.0012	0.00022439024390243892	0.0009	-7.5609756097561e-05
7	4.2299999999999995	0.235	0.000975609756097561	nan	1.9385654013603926e-05	0.01985090970993042	0.0009	-7.5609756097561e-05	0.0007	-0.000275609756097561	0.001	2.4390243902439046e-05	0.0007	-0.000275609756097561	0.0009	-7.5609756097561e-05	0.0016	0.0006243902439024391	0.0009	-7.5609756097561e-05	0.0011	0.0001243902439024391	0.0012	0.00022439024390243892	0.0012	0.00022439024390243892	0.0015	0.0005243902439024391	0.0012	0.00022439024390243892	0.0011	0.0001243902439024391	0.001	2.4390243902439046e-05	0.0011	0.0001243902439024391	0.0008	-0.00017560975609756094	0.0009	-7.5609756097561e-05	0.0011	0.0001243902439024391	0.001	2.4390243902439046e-05	0.0006	-0.00037560975609756103
8	4.140000000000001	0.23000000000000004	0.000975609756097561	nan	1.9242943380959332e-05	0.019704774022102356	0.0013	0.00032439024390243897	0.0004	-0.000575609756097561	0.001	2.4390243902439046e-05	0.0012	0.00022439024390243892	0.0004	-0.000575609756097561	0.0008	-0.00017560975609756094	0.0009	-7.5609756097561e-05	0.0012	0.00022439024390243892	0.0014	0.000424390243902439	0.0008	-0.00017560975609756094	0.0007	-0.000275609756097561	0.001	2.4390243902439046e-05	0.0006	-0.00037560975609756103	0.0007	-0.000275609756097561	0.0012	0.00022439024390243892	0.0008	-0.00017560975609756094	0.0011	0.0001243902439024391	0.0013	0.00032439024390243897	0.0008	-0.00017560975609756094	0.0014	0.000424390243902439
9	4.05	0.22499999999999998	0.000975609756097561	nan	1.920464274007827e-05	0.01966555416584015	0.0008	-0.00017560975609756094	0.001	2.4390243902439046e-05	0.0006	-0.00037560975609756103	0.0012	0.00022439024390243892	0.0007	-0.000275609756097561	0.0012	0.00022439024390243892	0.0008	-0.00017560975609756094	0.0005	-0.00047560975609756096	0.0005	-0.00047560975609756096	0.0009	-7.5609756097561e-05	0.0012	0.00022439024390243892	0.0008	-0.00017560975609756094	0.0007	-0.000275609756097561	0.0006	-0.00037560975609756103	0.0005	-0.00047560975609756096	0.0011	0.0001243902439024391	0.0009	-7.5609756097561e-05	0.001	2.4390243902439046e-05	0.0012	0.00022439024390243892	0.0008	-0.00017560975609756094
10	3.96	0.22	0.000975609756097561	nan	1.9230166799388826e-05	0.019691690802574158	0.0011	0.0001243902439024391	0.0017	0.0007243902439024389	0.0009	-7.5609756097561e-05	0.0009	-7.5609756097561e-05	0.0009	-7.5609756097561e-05	0.0008	-0.00017560975609756094	0.0009	-7.5609756097561e-05	0.0009	-7.5609756097561e-05	0.001	2.4390243902439046e-05	0.0014	0.000424390243902439	0.0003	-0.0006756097560975611	0.0011	0.0001243902439024391	0.0006	-0.00037560975609756103	0.0012	0.00022439024390243892	0.0011	0.0001243902439024391	0.0007	-0.000275609756097561	0.0013	0.00032439024390243897	0.0011	0.0001243902439024391	0.001	2.4390243902439046e-05	0.0013	0.00032439024390243897
11	3.87	0.215	0.000975609756097561	nan	1.929384598042816e-05	0.019756898283958435	0.0014	0.000424390243902439	0.0009	-7.5609756097561e-05	0.0012	0.00022439024390243892	0.0011	0.0001243902439024391	0.0014	0.000424390243902439	0.0012	0.00022439024390243892	0.0007	-0.000275609756097561	0.0008	-0.00017560975609756094	0.001	2.4390243902439046e-05	0.0012	0.00022439024390243892	0.0008	-0.00017560975609756094	0.0008	-0.00017560975609756094	0.001	2.4390243902439046e-05	0.0005	-0.00047560975609756096	0.0011	0.0001243902439024391	0.0009	-7.5609756097561e-05	0.0006	-0.00037560975609756103	0.0007	-0.000275609756097561	0.0011	0.0001243902439024391	0.001	2.4390243902439046e-05
