temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8
0	4.199999999999999	0.6999999999999998	0.058823529411764705	nan	0.0284423828125	0.455078125	0.0808	0.021976470588235292	0.0552	-0.003623529411764706	0.0554	-0.003423529411764707	0.0577	-0.0011235294117647038	0.0633	0.00447647058823529	0.0621	0.0032764705882352974	0.055	-0.003823529411764705	0.0501	-0.008723529411764706
1	3.3000000000000003	0.55	0.058823529411764705	nan	0.028564453125	0.45703125	0.0742	0.015376470588235297	0.0513	-0.007523529411764707	0.0539	-0.004923529411764702	0.0596	0.0007764705882352951	0.0582	-0.0006235294117647033	0.059	0.00017647058823529183	0.0483	-0.010523529411764702	0.0683	0.009476470588235295
2	2.4000000000000004	0.4000000000000001	0.058823529411764705	nan	0.034912109375	0.55859375	0.0849	0.026076470588235298	0.0532	-0.005623529411764708	0.0567	-0.0021235294117647047	0.0611	0.0022764705882352965	0.0542	-0.004623529411764707	0.058	-0.0008235294117647021	0.0692	0.010376470588235293	0.0671	0.008276470588235302
3	1.7999999999999998	0.3	0.058823529411764705	nan	0.0347900390625	0.556640625	0.0798	0.02097647058823529	0.0616	0.002776470588235297	0.0561	-0.002723529411764708	0.0568	-0.002023529411764702	0.0553	-0.003523529411764703	0.0604	0.0015764705882352972	0.0662	0.00737647058823529	0.0912	0.0323764705882353
4	1.5	0.25	0.058823529411764705	nan	0.0404052734375	0.646484375	0.109	0.050176470588235295	0.0638	0.0049764705882352905	0.056	-0.002823529411764704	0.0568	-0.002023529411764702	0.0573	-0.0015235294117647083	0.0573	-0.0015235294117647083	0.0518	-0.007023529411764706	0.0481	-0.010723529411764708
5	1.47	0.245	0.058823529411764705	nan	0.052734375	0.84375	0.125	0.0661764705882353	0.0627	0.0038764705882353007	0.066	0.007176470588235298	0.0577	-0.0011235294117647038	0.0507	-0.008123529411764703	0.0486	-0.010223529411764708	0.0552	-0.003623529411764706	0.064	0.005176470588235296
6	1.44	0.24	0.058823529411764705	nan	0.04443359375	0.7109375	0.1211	0.062276470588235294	0.0565	-0.0023235294117647035	0.0559	-0.0029235294117647068	0.0615	0.002676470588235294	0.0565	-0.0023235294117647035	0.0509	-0.007923529411764704	0.0458	-0.013023529411764705	0.0646	0.0057764705882353
7	1.41	0.235	0.058823529411764705	nan	0.033447265625	0.53515625	0.0942	0.0353764705882353	0.0573	-0.0015235294117647083	0.0562	-0.002623529411764705	0.0575	-0.0013235294117647026	0.0562	-0.002623529411764705	0.0656	0.0067764705882353005	0.0551	-0.003723529411764702	0.0806	0.0217764705882353
8	1.3800000000000001	0.23	0.058823529411764705	nan	0.039794921875	0.63671875	0.1032	0.044376470588235295	0.0628	0.00397647058823529	0.0549	-0.003923529411764708	0.0538	-0.0050235294117647045	0.0541	-0.004723529411764703	0.0572	-0.0016235294117647042	0.0592	0.00037647058823529755	0.0716	0.012776470588235292
9	1.35	0.225	0.058823529411764705	nan	0.0460205078125	0.736328125	0.1117	0.05287647058823529	0.0528	-0.006023529411764705	0.059	0.00017647058823529183	0.0607	0.001876470588235292	0.055	-0.003823529411764705	0.0485	-0.010323529411764704	0.0555	-0.0033235294117647043	0.0712	0.012376470588235294
10	1.32	0.22	0.058823529411764705	nan	0.0467529296875	0.748046875	0.1153	0.056476470588235295	0.0602	0.0013764705882352915	0.0629	0.0040764705882352925	0.054	-0.004823529411764706	0.0532	-0.005623529411764708	0.0526	-0.006223529411764704	0.053	-0.0058235294117647066	0.0457	-0.013123529411764707
11	1.29	0.215	0.058823529411764705	nan	0.0540771484375	0.865234375	0.136	0.0771764705882353	0.0649	0.006076470588235294	0.0571	-0.001723529411764707	0.0579	-0.000923529411764705	0.0556	-0.0032235294117647084	0.0485	-0.010323529411764704	0.0321	-0.02672352941176471	0.0468	-0.012023529411764704
12	1.26	0.21	0.058823529411764705	nan	0.047119140625	0.75390625	0.1214	0.06257647058823529	0.0647	0.0058764705882352886	0.0536	-0.005223529411764703	0.0589	7.64705882352959e-05	0.0515	-0.007323529411764708	0.056	-0.002823529411764704	0.0588	-2.3529411764706964e-05	0.0085	-0.050323529411764704
13	1.23	0.205	0.058823529411764705	nan	0.0440673828125	0.705078125	0.1258	0.06697647058823529	0.0601	0.0012764705882352956	0.0548	-0.004023529411764704	0.0579	-0.000923529411764705	0.0538	-0.0050235294117647045	0.0566	-0.0022235294117647075	0.0641	0.005276470588235299	0.0572	-0.0016235294117647042
14	1.2000000000000002	0.20000000000000004	0.058823529411764705	nan	0.048095703125	0.76953125	0.1285	0.0696764705882353	0.0676	0.008776470588235288	0.0557	-0.0031235294117647056	0.0574	-0.0014235294117647054	0.0551	-0.003723529411764702	0.0564	-0.0024235294117647063	0.052	-0.0068235294117647075	0.0512	-0.007623529411764703
15	1.17	0.19499999999999998	0.058823529411764705	nan	0.049072265625	0.78515625	0.1199	0.0610764705882353	0.0654	0.006576470588235295	0.0534	-0.005423529411764702	0.0563	-0.0025235294117647022	0.0495	-0.009323529411764703	0.0601	0.0012764705882352956	0.049	-0.009823529411764703	0.0272	-0.0316235294117647
16	1.1400000000000001	0.19000000000000003	0.058823529411764705	nan	0.0543212890625	0.869140625	0.1334	0.07457647058823529	0.0671	0.008276470588235302	0.0547	-0.0041235294117647064	0.0574	-0.0014235294117647054	0.051	-0.007823529411764708	0.047	-0.011823529411764705	0.062	0.0031764705882352945	0.0802	0.02137647058823529
17	1.1099999999999999	0.18499999999999997	0.058823529411764705	nan	0.052001953125	0.83203125	0.1295	0.0706764705882353	0.0677	0.008876470588235291	0.0536	-0.005223529411764703	0.0547	-0.0041235294117647064	0.0512	-0.007623529411764703	0.0485	-0.010323529411764704	0.0555	-0.0033235294117647043	0.0591	0.0002764705882352947
18	1.08	0.18000000000000002	0.058823529411764705	nan	0.0567626953125	0.908203125	0.1282	0.0693764705882353	0.0693	0.010476470588235295	0.0557	-0.0031235294117647056	0.0564	-0.0024235294117647063	0.0509	-0.007923529411764704	0.0486	-0.010223529411764708	0.0468	-0.012023529411764704	0.0599	0.0010764705882352968
19	1.0499999999999998	0.17499999999999996	0.058823529411764705	nan	0.04638671875	0.7421875	0.1359	0.07707647058823529	0.0628	0.00397647058823529	0.0585	-0.0003235294117647017	0.0539	-0.004923529411764702	0.0504	-0.008423529411764705	0.0593	0.0004764705882352935	0.0603	0.0014764705882352944	0.0635	0.004676470588235296
20	1.02	0.17	0.058823529411764705	nan	0.049560546875	0.79296875	0.1412	0.08237647058823529	0.0676	0.008776470588235288	0.056	-0.002823529411764704	0.0541	-0.004723529411764703	0.0559	-0.0029235294117647068	0.0579	-0.000923529411764705	0.0615	0.002676470588235294	0.0355	-0.023323529411764708
21	0.99	0.165	0.058823529411764705	nan	0.0489501953125	0.783203125	0.1348	0.0759764705882353	0.0596	0.0007764705882352951	0.058	-0.0008235294117647021	0.0534	-0.005423529411764702	0.0556	-0.0032235294117647084	0.056	-0.002823529411764704	0.0433	-0.015523529411764707	0.0083	-0.0505235294117647
22	0.96	0.16	0.058823529411764705	nan	0.0545654296875	0.873046875	0.1354	0.07657647058823529	0.0638	0.0049764705882352905	0.059	0.00017647058823529183	0.0551	-0.003723529411764702	0.0583	-0.0005235294117647074	0.0494	-0.009423529411764706	0.0372	-0.021623529411764708	0.0313	-0.027523529411764704
23	0.9299999999999999	0.155	0.058823529411764705	nan	0.056884765625	0.91015625	0.1523	0.09347647058823529	0.0677	0.008876470588235291	0.0616	0.002776470588235297	0.054	-0.004823529411764706	0.0509	-0.007923529411764704	0.0525	-0.006323529411764707	0.0568	-0.002023529411764702	0.0699	0.011076470588235299
24	0.8999999999999999	0.15	0.058823529411764705	nan	0.0673828125	1.078125	0.1558	0.09697647058823529	0.0688	0.009976470588235295	0.0613	0.0024764705882352953	0.0549	-0.003923529411764708	0.0543	-0.004523529411764704	0.048	-0.010823529411764704	0.0405	-0.018323529411764704	0.0227	-0.03612352941176471
25	0.8699999999999999	0.145	0.058823529411764705	0.6297122497477033	0.0830078125	1.328125	0.1686	0.1097764705882353	0.079	0.020176470588235296	0.0688	0.009976470588235295	0.0555	-0.0033235294117647043	0.0441	-0.014723529411764705	0.0398	-0.019023529411764703	0.0331	-0.025723529411764708	0.0453	-0.013523529411764705
26	0.8400000000000001	0.14	0.058823529411764705	nan	0.0809326171875	1.294921875	0.1819	0.1230764705882353	0.0873	0.028476470588235298	0.0644	0.005576470588235294	0.0552	-0.003623529411764706	0.0445	-0.014323529411764707	0.0441	-0.014723529411764705	0.0449	-0.013923529411764703	0.0781	0.019276470588235298
27	0.81	0.135	0.058823529411764705	nan	0.0657958984375	1.052734375	0.1691	0.1102764705882353	0.0759	0.01707647058823529	0.0575	-0.0013235294117647026	0.0491	-0.009723529411764707	0.0502	-0.008623529411764704	0.053	-0.0058235294117647066	0.0427	-0.016123529411764703	0.0541	-0.004723529411764703
28	0.78	0.13	0.058823529411764705	nan	0.0758056640625	1.212890625	0.1835	0.12467647058823529	0.0803	0.02147647058823529	0.0589	7.64705882352959e-05	0.0536	-0.005223529411764703	0.0494	-0.009423529411764706	0.0427	-0.016123529411764703	0.0465	-0.012323529411764705	0.0699	0.011076470588235299
29	0.75	0.125	0.058823529411764705	nan	0.095458984375	1.52734375	0.2017	0.14287647058823527	0.0915	0.03267647058823529	0.0624	0.003576470588235292	0.0444	-0.014423529411764703	0.0426	-0.016223529411764706	0.0403	-0.018523529411764703	0.028	-0.030823529411764704	0.0554	-0.003423529411764707
30	0.72	0.12	0.058823529411764705	nan	0.082275390625	1.31640625	0.2066	0.1477764705882353	0.0838	0.024976470588235294	0.0599	0.0010764705882352968	0.0498	-0.009023529411764708	0.0464	-0.012423529411764708	0.0437	-0.015123529411764702	0.0431	-0.015723529411764706	0.0366	-0.022223529411764704
31	0.6900000000000001	0.115	0.058823529411764705	nan	0.0914306640625	1.462890625	0.2282	0.1693764705882353	0.0953	0.03647647058823529	0.058	-0.0008235294117647021	0.0404	-0.018423529411764707	0.0447	-0.014123529411764708	0.0427	-0.016123529411764703	0.048	-0.010823529411764704	0.0458	-0.013023529411764705
32	0.66	0.11	0.058823529411764705	1.002138800179692	0.22900390625	3.6640625	0.4426	0.3837764705882353	0.1945	0.1356764705882353	0.0723	0.013476470588235298	0.0241	-0.03472352941176471	0.0059	-0.0529235294117647	0.0037	-0.0551235294117647	0.0007	-0.058123529411764706	0.0	-0.058823529411764705
33	0.63	0.105	0.058823529411764705	0.9100815096491955	0.2042236328125	3.267578125	0.3916	0.3327764705882353	0.1827	0.1238764705882353	0.0717	0.012876470588235295	0.0305	-0.028323529411764706	0.0118	-0.04702352941176471	0.0082	-0.050623529411764706	0.0079	-0.0509235294117647	0.0	-0.058823529411764705
34	0.6000000000000001	0.10000000000000002	0.058823529411764705	1.0519017670900064	0.235595703125	3.76953125	0.4677	0.4088764705882353	0.205	0.1461764705882353	0.0721	0.013276470588235292	0.0151	-0.0437235294117647	0.0029	-0.055923529411764705	0.003	-0.0558235294117647	0.0046	-0.054223529411764705	0.0079	-0.0509235294117647
35	0.5700000000000001	0.09500000000000001	0.058823529411764705	1.1218408703930092	0.25	4.0	0.5061	0.4472764705882353	0.2183	0.15947647058823528	0.0682	0.009376470588235292	0.0103	-0.0485235294117647	0.0	-0.058823529411764705	0.0	-0.058823529411764705	0.0	-0.058823529411764705	0.0	-0.058823529411764705
36	0.54	0.09000000000000001	0.058823529411764705	1.0867988650738212	0.24853515625	3.9765625	0.4899	0.4310764705882353	0.2059	0.1470764705882353	0.0732	0.014376470588235296	0.0162	-0.042623529411764706	0.0002	-0.058623529411764706	0.0	-0.058823529411764705	0.0	-0.058823529411764705	0.0	-0.058823529411764705
37	0.54	0.09000000000000001	0.058823529411764705	1.1203929503504255	0.25	4.0	0.5054	0.44657647058823524	0.2158	0.15697647058823527	0.0717	0.012876470588235295	0.014	-0.044823529411764707	0.0	-0.058823529411764705	0.0	-0.058823529411764705	0.0	-0.058823529411764705	0.0	-0.058823529411764705
38	0.42000000000000004	0.07	0.058823529411764705	1.1068942882839305	0.25	4.0	0.4931	0.43427647058823526	0.2192	0.1603764705882353	0.0725	0.01367647058823529	0.0153	-0.043523529411764704	0.0	-0.058823529411764705	0.0	-0.058823529411764705	0.0	-0.058823529411764705	0.0	-0.058823529411764705
39	0.30000000000000004	0.05000000000000001	0.058823529411764705	1.1112170117193143	0.25	4.0	0.4994	0.4405764705882353	0.2154	0.15657647058823532	0.0719	0.0130764705882353	0.0139	-0.04492352941176471	0.0	-0.058823529411764705	0.0	-0.058823529411764705	0.0	-0.058823529411764705	0.0	-0.058823529411764705
40	0.18	0.03	0.058823529411764705	1.1170420807957977	0.25	4.0	0.4997	0.44087647058823526	0.2195	0.1606764705882353	0.0725	0.01367647058823529	0.0139	-0.04492352941176471	0.0	-0.058823529411764705	0.0	-0.058823529411764705	0.0	-0.058823529411764705	0.0	-0.058823529411764705
