temp_index	temp	mean_S	var_S	mean_E	heat_capacity_S	accept_rate	nonnull_rate	runtime_seconds
0	12.6	88132.78	69349.13159999996	-0.008404996871948242	0.00041658154240360946	0.9806900530919203	0.9921805953979492	125.92564156799926
1	9.9	90001.26	110937.79240000015	-0.008583189010620117	0.0010794666190254935	0.9743358379801654	0.992189598083496	125.23247551597888
2	7.2	93080.02	108119.93959999923	-0.008876802444458008	0.001989027960800816	0.9613829379637622	0.9922039604187012	127.16535311800544
3	5.3999999999999995	97183.1	67947.37000000011	-0.009268102645874023	0.002222210618530612	0.9416284247014458	0.992187614440918	125.61871341400547
4	4.140000000000001	102311.24	87166.78239999991	-0.009757160186767578	0.004850096946174487	0.9086457294793819	0.9922059631347656	127.04344180700718
5	4.05	102788.68	104578.25760000013	-0.009802692413330078	0.006080390082465286	0.9049154905969952	0.9921747398376465	127.19364721700549
6	3.96	103281.66	130666.02440000046	-0.009849706649780273	0.007946436045887717	0.9006917495824335	0.9921886062622071	125.61042887798976
7	3.87	103814.06	90529.37639999948	-0.009900480270385743	0.005764580197033672	0.8959478882216815	0.9921959114074707	127.79131422299542
8	3.78	104531.28	104046.04160000011	-0.009968879699707032	0.006944517062628172	0.891379681531022	0.9921778297424316	128.57980363597744
9	3.69	105043.44	118443.96640000027	-0.010017723083496095	0.00829583865342977	0.8858750283697353	0.9921734237670898	127.81557058700128
10	3.6	105688.38	71629.35559999943	-0.010079229354858398	0.005270916414849509	0.8795638823695381	0.99218092918396	129.05110229100683
11	3.5100000000000002	106454.4	79968.24000000022	-0.01015228271484375	0.006190181623218248	0.8728794040743185	0.9921856689453125	127.80003456599661
12	3.42	107176.52	107011.64959999919	-0.010221149444580078	0.00872527117572795	0.8654788500097963	0.9921932983398437	125.29326673797914
13	3.33	108020.32	80409.6975999996	-0.010301620483398437	0.0069154436771107055	0.856906897852112	0.9921829414367676	126.20001163100824
14	3.2399999999999998	108819.82	93986.5876000002	-0.010377866744995117	0.008538389220468139	0.8476336213824586	0.9921796607971192	124.23803355600103
15	3.15	109642.86	132680.88040000014	-0.010456357955932617	0.012752264844106784	0.8370869665703506	0.9921811580657959	125.6517495070002
16	3.06	110634.78	105260.01159999985	-0.010550954818725587	0.010720638387750845	0.824769357152975	0.9921880054473877	126.24600092400215
17	2.97	111612.68	70314.6576000005	-0.010644214630126953	0.007602090832003537	0.8106566323690586	0.9921796417236328	126.88011155001004
18	2.88	112670.52	107932.00959999952	-0.010745098114013672	0.0124098169214931	0.7938455421468824	0.9921841716766358	127.43149416899541
19	2.79	115527.86	32047553.1204	-0.011017595291137695	3.9263278111265856	0.7749399363525311	0.9921873760223389	126.70995257000322
20	2.6999999999999997	134557.88	1475090752.3056	-0.012832439422607422	192.97066733089497	0.7508286054058733	0.9921871471405029	127.31824703401071
21	2.61	184551.42	6672753271.6836	-0.017600194931030273	934.1661770849556	0.7219574193800156	0.9921875953674316	129.10326564899879
22	2.5200000000000005	286349.18	15860807445.1076	-0.02730838584899902	2381.904241916123	0.686258460283258	0.9921981143951416	128.24341509400983
23	2.43	437326.58	22924227625.0036	-0.04170671272277832	3702.3907448757095	0.6460159960488784	0.9921962451934815	128.74193669299711
24	2.34	622544.14	39244374712.2404	-0.05937043571472168	6835.114366733616	0.6033661137914171	0.9921963024139404	120.123615265009
25	2.25	856227.12	47225927219.5056	-0.08165618133544922	8896.42545337547	0.5559988693791398	0.9921876239776611	121.44317908698577
26	2.16	1105431.88	56540741999.1056	-0.10542219924926759	11557.238827824754	0.5079113185818046	0.9921779441833496	123.1302251740126
27	2.0700000000000003	1378109.68	57371611013.7776	-0.1314267807006836	12768.98688760289	0.45962074952083687	0.9921901893615722	122.4242372509907
28	1.98	1658773.14	52074308431.2004	-0.15819293403625487	12667.567211369571	0.4111982430856654	0.9921736240386962	123.25743183601298
29	1.89	1939639.38	49399383700.7956	-0.18497842597961425	13188.579122014024	0.36452008052145457	0.9921871089935302	123.18526629600092
30	1.8	2221023.1	42766229270.97	-0.21181326866149902	12587.979773230023	0.3193276982995687	0.9922012138366699	123.38655407499755
31	1.71	2480735.7	35156045690.33	-0.23658139228820801	11465.893041028814	0.27733364624088785	0.9921955871582031	123.23120390300755
32	1.6199999999999999	2732465.78	28965205040.2916	-0.26058824348449705	10525.595228001433	0.23775688372620338	0.9921797275543213	121.99086851099855
33	1.53	2967090.88	23987050243.4656	-0.28296383666992186	9772.238772924698	0.20131908872429474	0.9921796894073487	121.81122230301844
34	1.44	3183404.8	18019224967.88	-0.3035931396484375	8287.2646862526	0.16896591954684992	0.9921864318847656	122.4618169630121
35	1.2600000000000002	3562846.98	10583018231.2596	-0.3397795658111572	6357.239025706334	0.11219846308607703	0.99218337059021	121.70775544800563
36	0.9	4111672.06	2420565166.5764008	-0.3921196041107178	2849.914605619172	0.03616931726797075	0.9921851539611817	22.917037636972964
37	0.54	4400039.18	170872527.66760063	-0.4196204357147217	558.8365604115468	0.0034022008618503873	0.9921860027313233	24.526956802001223
38	0.18	4456442.12	3.8656005859375	-0.42499943923950195	0.00011378160482387485	1.009235514190356e-06	0.9921946048736572	25.56818511200254
