temp_index	temp	sweep	S	E	accepted	nonnull	null
0	1.7187499999999993	1	83229	-0.00041340291500091553	16647569	16773028	4188
0	1.7187499999999993	2	88005	-0.000437125563621521	33271508	33546210	8222
0	1.7187499999999993	3	88025	-0.00043722490469614667	49892125	50319301	12347
0	1.7187499999999993	4	87461	-0.00043442348639170331	66512772	67092375	16489
0	1.7187499999999993	5	88266	-0.00043842196464538574	83133587	83865439	20641
0	1.7187499999999993	6	87841	-0.00043631096680959064	99753417	100638520	24776
0	1.7187499999999993	7	87997	-0.00043708582719167072	116374147	117411537	28975
0	1.7187499999999993	8	88465	-0.00043941040833791095	132994522	134184661	33067
0	1.7187499999999993	9	88155	-0.00043787062168121338	149614828	150957816	37128
0	1.7187499999999993	10	87650	-0.00043536225954691571	166235664	167730890	41270
0	1.7187499999999993	11	87361	-0.00043392678101857501	182856626	184503932	45444
0	1.7187499999999993	12	87602	-0.00043512384096781415	199477370	201276990	49602
0	1.7187499999999993	13	88318	-0.00043868025143941242	216097213	218050062	53746
0	1.7187499999999993	14	88427	-0.00043922166029612225	232717224	234823176	57848
0	1.7187499999999993	15	87816	-0.00043618679046630859	249336924	251596254	61986
0	1.7187499999999993	16	87691	-0.00043556590874989826	265957787	268369510	65946
0	1.7187499999999993	17	88079	-0.00043749312559763592	282578211	285142672	70000
0	1.7187499999999993	18	88421	-0.00043919185797373456	299197531	301915830	74058
0	1.7187499999999993	19	88214	-0.00043816367785135907	315817050	318689008	78096
0	1.7187499999999993	20	87601	-0.00043511887391408283	332437512	335462151	82169
0	1.7187499999999993	21	87559	-0.00043491025765736896	349058328	352235303	86233
0	1.7187499999999993	22	87670	-0.00043546160062154132	365679468	369008482	90270
0	1.7187499999999993	23	87577	-0.00043499966462453205	382300251	385781583	94385
0	1.7187499999999993	24	87873	-0.0004364699125289917	398921108	402554756	98428
0	1.7187499999999993	25	87390	-0.00043407082557678223	415542006	419327800	102600
0	1.7187499999999993	26	88077	-0.00043748319149017334	432162460	436100923	106693
0	1.7187499999999993	27	88621	-0.00044018526871999103	448781637	452874103	110729
0	1.7187499999999993	28	88157	-0.00043788055578867596	465402090	469647250	114798
